Representative_Sequence	total_reads_NC	total_reads_samps	perc_in_neg	total_samples	num_samp_nc	num_samp_no_nc	perc_in_neg_samp
M06508_12_000000000-CJG44_1_1105_15188_16071	1	10	9.090909	10	1	9	10
M06508_16_000000000-CMN9T_1_2106_28922_17136	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1114_16288_8857	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1113_13147_22496	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2103_16494_19234	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2106_29252_13726	2	5	28.571429	6	2	4	33.33333333333333
M06508_8_000000000-JTFYW_1_1103_22622_7025	3	3	50	2	1	1	50
M06508_12_000000000-CJG44_1_1107_6225_5902	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1111_14495_8764	1	2	33.333333	3	1	2	33.33333333333333
M06508_9_000000000-JTBW3_1_2111_23807_7762	1	9	10	9	1	8	11.11111111111111
M06508_16_000000000-CMN9T_1_2109_7527_23723	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1104_7317_12828	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1106_4825_18396	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1112_9743_20439	3	3	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1111_4164_22465	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1105_3293_14963	132	482	21.498371	34	1	33	2.941176470588235
M06508_19_000000000-CR8CR_1_1109_14175_16466	18	28	39.130435	8	1	7	12.5
M06508_18_000000000-CNPPR_1_1114_20466_14242	3	167	1.764706	39	2	37	5.128205128205128
M06508_12_000000000-CJG44_1_2113_7691_6819	2	50652	0.003948	547	1	546	0.18281535648994515
M06508_18_000000000-CNPPR_1_1107_5177_9852	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2103_19228_7145	3	3	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1112_19884_18449	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1114_12101_21870	1	8	11.111111	7	1	6	14.285714285714285
M06508_16_000000000-CMN9T_1_1109_6204_17178	2	2	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2107_24480_24539	1	4	20	5	1	4	20
M06508_9_000000000-JTBW3_1_2111_25802_7535	1	2	33.333333	3	1	2	33.33333333333333
M06508_12_000000000-CJG44_1_1109_3935_7847	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2113_9500_11884	1	2	33.333333	3	1	2	33.33333333333333
M06508_8_000000000-JTFYW_1_2102_10924_19904	1	14	6.666667	13	1	12	7.6923076923076925
M06508_12_000000000-CJG44_1_2110_5453_8625	2	2	50	3	2	1	66.66666666666666
M06508_12_000000000-CJG44_1_2113_24395_12879	4	124	3.125	56	3	53	5.357142857142857
M06508_18_000000000-CNPPR_1_1107_10040_4496	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2107_20702_11745	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1110_8919_19580	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1106_13861_9263	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1107_28070_16165	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1105_9881_26716	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2105_13433_4154	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1102_18681_25089	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2106_16681_23222	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2107_23257_5818	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2108_17186_2779	1	25	3.846154	20	1	19	5
M06508_16_000000000-CMN9T_1_2108_9457_20541	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2113_13370_18493	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1108_17761_2588	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1107_22255_11750	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2103_22798_22397	3	5	37.5	6	3	3	50
M06508_12_000000000-CJG44_1_1103_10868_14620	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2112_19992_13203	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1109_24930_11530	3	3	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2111_25468_22029	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1114_20200_20390	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1103_9693_27818	4	4	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2111_15789_3948	3	87	3.333333	43	1	42	2.3255813953488373
