SampleID	input	filtered	denoisedF	denoisedR	merged	per_reads_kept
EP_A_ROST_EG_9119	25815	24378	24012	24055	18575	0.72
EP_A_ROST_GL_9072	4979	4654	4640	4617	4556	0.915
EP_A_ROST_GL_9074	11193	10533	10459	10433	10112	0.903
EP_A_ROST_GL_9119	19378	18694	18526	18575	15531	0.801
EP_A_ROST_GL_9122	10309	9735	9519	9516	9155	0.888
EP_A_ROST_GL_9124	22242	21780	21359	21497	18914	0.85
EP_A_ROST_HP_9072	6087	5759	5711	5636	5527	0.908
EP_A_ROST_HP_9074	8394	7868	7822	7783	7614	0.907
EP_A_ROST_HP_9119	14576	14044	13955	13963	11859	0.814
EP_A_ROST_HP_9122	6874	6581	6535	6506	6101	0.888
EP_A_ROST_HP_9124	16985	16685	16624	16614	11337	0.667
EP_A_ROST_MG_9072	10256	9760	9665	9629	9182	0.895
EP_A_ROST_MG_9074	10348	9759	9663	9658	9092	0.879
EP_A_ROST_MG_9119	18044	17477	17346	17367	12169	0.674
EP_A_ROST_MG_9122	11462	10834	10690	10654	10148	0.885
EP_A_ROST_MG_9124	25600	25035	24943	24885	13244	0.517
EP_A_ROST_ST_9072	8677	8259	8175	8151	7937	0.915
EP_A_ROST_ST_9074	6796	6293	6248	6188	5994	0.882
EP_A_ROST_ST_9119	15042	14483	14206	14237	11719	0.779
EP_A_ROST_ST_9122	8791	8240	8073	8024	7675	0.873
EP_A_ROST_ST_9124	20032	19451	19143	19160	14713	0.734
EP_A_UMBO_GL_9266	11961	11262	10668	10704	9867	0.825
EP_A_UMBO_HP_9266	10050	9411	9108	9111	8633	0.859
EP_A_UMBO_MG_9266	11693	11133	10919	10937	10141	0.867
EP_A_UMBO_ST_9266	15323	14519	13944	13981	13062	0.852
EP_A_UTRI_GL_9133	10152	9514	9226	9196	8444	0.832
EP_A_UTRI_GL_9134	7273	6881	6724	6697	6272	0.862
EP_A_UTRI_GL_9135	9429	8776	8486	8542	7598	0.806
EP_A_UTRI_GL_9187	7679	7209	7049	7047	6859	0.893
EP_A_UTRI_GL_9269	7474	6948	6660	6684	6158	0.824
EP_A_UTRI_GL_9271	10569	9936	9492	9566	8694	0.823
EP_A_UTRI_HP_9133	9900	9352	9074	9071	8475	0.856
EP_A_UTRI_HP_9134	13950	12798	12584	12499	11815	0.847
EP_A_UTRI_HP_9135	7358	6551	6394	6369	5861	0.797
EP_A_UTRI_HP_9187	8019	7394	7238	7149	6811	0.849
EP_A_UTRI_HP_9269	10014	9280	9029	8996	8351	0.834
EP_A_UTRI_HP_9271	7985	7275	7110	7054	6589	0.825
EP_A_UTRI_MG_9133	8402	7840	7760	7739	7404	0.881
EP_A_UTRI_MG_9134	8906	8392	8167	8176	7587	0.852
EP_A_UTRI_MG_9135	10307	9598	9340	9307	8504	0.825
EP_A_UTRI_MG_9187	9525	8601	8312	8274	7634	0.801
EP_A_UTRI_MG_9269	10778	10142	9833	9886	8925	0.828
EP_A_UTRI_MG_9271	10008	9397	8927	8981	8127	0.812
EP_A_UTRI_ST_9133	11055	10355	10118	10128	9514	0.861
EP_A_UTRI_ST_9135	7970	7252	7044	7059	6484	0.814
EP_A_UTRI_ST_9187	10390	9807	9356	9433	8620	0.83
EP_A_UTRI_ST_9269	11729	10936	10502	10520	9420	0.803
EP_A_UTRI_ST_9271	9123	8496	8109	8141	7325	0.803
WA_A_BAHA_EG_7652	29333	27583	26942	26988	19383	0.661
WA_A_BAHA_EG_7654	20586	19721	19360	19416	13137	0.638
WA_A_BAHA_GL_7471	99656	95383	95052	95197	79435	0.797
WA_A_BAHA_GL_7501	18435	17694	17369	17405	13499	0.732
WA_A_BAHA_GL_7513	21865	21051	20831	20800	15460	0.707
WA_A_BAHA_GL_7515	18770	18075	17649	17722	15197	0.81
WA_A_BAHA_GL_7652	15454	14454	14349	14363	10452	0.676
WA_A_BAHA_GL_7654	19130	18326	18175	18094	11704	0.612
WA_A_BAHA_HP_7471	68186	64286	64151	64093	51060	0.749
WA_A_BAHA_HP_7501	21883	21349	21220	21257	17131	0.783
WA_A_BAHA_HP_7513	15510	15062	14988	14976	13900	0.896
WA_A_BAHA_HP_7515	11359	10942	10880	10885	8878	0.782
WA_A_BAHA_HP_7652	8508	7676	7652	7614	6030	0.709
WA_A_BAHA_HP_7654	14160	10040	9905	10007	7107	0.502
WA_A_BAHA_MG_7471	8222	8038	7770	7829	6797	0.827
WA_A_BAHA_MG_7501	16341	15913	15749	15761	14682	0.898
WA_A_BAHA_MG_7513	21362	20504	20417	20416	19378	0.907
WA_A_BAHA_MG_7515	23405	22691	22548	22562	20741	0.886
WA_A_BAHA_MG_7652	14983	14432	14182	14225	10440	0.697
WA_A_BAHA_MG_7654	24189	23467	23403	23344	17230	0.712
WA_A_BAHA_ST_7471	10982	10427	10228	10222	8742	0.796
WA_A_BAHA_ST_7501	11080	10694	10463	10462	8668	0.782
WA_A_BAHA_ST_7513	4862	4711	4581	4584	4101	0.843
WA_A_BAHA_ST_7515	15427	14876	14714	14767	13000	0.843
WA_A_BAHA_ST_7652	23439	22462	21856	22073	16592	0.708
WA_A_BAHA_ST_7654	17755	15375	15208	15213	11953	0.673
WA_A_BOUV_EG_7511	35471	33837	33634	33633	28452	0.802
WA_A_BOUV_EG_7581	2678	2483	2394	2429	1533	0.572
WA_A_BOUV_EG_7583	32585	31249	30769	30868	17318	0.531
WA_A_BOUV_EG_7586	36185	34580	34266	34356	28772	0.795
WA_A_BOUV_EG_7645	26544	25576	25250	25275	17493	0.659
WA_A_BOUV_GL_7508	41379	39636	39463	39443	33436	0.808
WA_A_BOUV_GL_7509	20926	19905	19765	19761	15872	0.758
WA_A_BOUV_GL_7511	21195	20159	20130	20074	15557	0.734
WA_A_BOUV_GL_7581	9541	9155	9103	9095	7650	0.802
WA_A_BOUV_GL_7583	24127	23236	22946	22976	16758	0.695
WA_A_BOUV_GL_7584	31494	30069	29977	29915	22670	0.72
WA_A_BOUV_GL_7586	45217	42875	42573	42573	37111	0.821
WA_A_BOUV_GL_7587	21686	19822	19759	19735	15742	0.726
WA_A_BOUV_GL_7639	14287	13759	13686	13692	11049	0.773
WA_A_BOUV_GL_7640	16666	16137	16030	16057	12646	0.759
WA_A_BOUV_GL_7643	8396	8072	7957	7991	6856	0.817
WA_A_BOUV_GL_7644	17830	16907	16782	16785	12011	0.674
WA_A_BOUV_GL_7645	24798	24032	23876	23669	15447	0.623
WA_A_BOUV_HP_7508	29705	29050	28989	28997	28685	0.966
WA_A_BOUV_HP_7509	14350	13723	13683	13649	10766	0.75
WA_A_BOUV_HP_7511	17850	17500	17457	17448	17169	0.962
WA_A_BOUV_HP_7581	11001	10490	10454	10415	8759	0.796
WA_A_BOUV_HP_7583	7657	7528	7455	7475	6918	0.903
WA_A_BOUV_HP_7584	23409	22979	22937	22913	21296	0.91
WA_A_BOUV_HP_7586	24016	23415	23352	23356	21202	0.883
WA_A_BOUV_HP_7587	9111	7939	7934	7903	6220	0.683
WA_A_BOUV_HP_7639	19883	19325	19280	19266	10078	0.507
WA_A_BOUV_HP_7640	11973	11373	11325	11303	7459	0.623
WA_A_BOUV_HP_7643	15907	14900	14831	14811	10802	0.679
WA_A_BOUV_HP_7644	9236	9057	8988	8990	4596	0.498
WA_A_BOUV_HP_7645	24746	24271	24211	24220	12760	0.516
WA_A_BOUV_MG_7508	15518	15161	15136	15140	7489	0.483
WA_A_BOUV_MG_7509	24522	24034	23988	23998	11462	0.467
WA_A_BOUV_MG_7511	17436	17066	17036	17037	9340	0.536
WA_A_BOUV_MG_7581	14944	14375	14227	14253	12609	0.844
WA_A_BOUV_MG_7583	14367	14075	13915	13956	12867	0.896
WA_A_BOUV_MG_7584	12723	12454	12293	12294	6412	0.504
WA_A_BOUV_MG_7586	32705	31948	31767	31892	18563	0.568
WA_A_BOUV_MG_7587	27901	27222	27189	27194	13163	0.472
WA_A_BOUV_MG_7639	13262	12903	12839	12860	8763	0.661
WA_A_BOUV_MG_7640	23121	22570	22468	22494	14730	0.637
WA_A_BOUV_MG_7643	10353	10097	9996	10017	6782	0.655
WA_A_BOUV_MG_7644	13728	13401	13338	13347	7683	0.56
WA_A_BOUV_MG_7645	26360	25826	25668	25679	15213	0.577
WA_A_BOUV_ST_7508	39134	37022	36731	36761	32447	0.829
WA_A_BOUV_ST_7509	25544	24489	24374	24252	15909	0.623
WA_A_BOUV_ST_7511	36810	35065	34428	34312	28085	0.763
WA_A_BOUV_ST_7581	18669	17842	17737	17693	15132	0.811
WA_A_BOUV_ST_7583	33679	32704	32403	32409	27462	0.815
WA_A_BOUV_ST_7584	37067	35745	35329	35334	23845	0.643
WA_A_BOUV_ST_7586	22642	21720	21588	21610	17059	0.753
WA_A_BOUV_ST_7587	18503	17872	17799	17724	11335	0.613
WA_A_BOUV_ST_7639	24015	23097	22916	22969	15449	0.643
WA_A_BOUV_ST_7643	26943	25266	24897	24930	17874	0.663
WA_A_BOUV_ST_7644	16066	15418	15126	15170	9235	0.575
WA_A_BOUV_ST_7645	18929	18404	18042	18132	11433	0.604
WA_A_CRIS_EG_7537	17842	16535	16292	16317	9532	0.534
WA_A_CRIS_GL_7499	36870	35564	35420	35458	34384	0.933
WA_A_CRIS_GL_7500	13399	12956	12895	12848	10744	0.802
WA_A_CRIS_GL_7537	21707	21098	20945	20963	16480	0.759
WA_A_CRIS_HP_7499	58116	55176	54936	54803	42196	0.726
WA_A_CRIS_HP_7500	7418	6886	6823	6795	5930	0.799
WA_A_CRIS_HP_7537	9605	9221	9191	9205	8138	0.847
WA_A_CRIS_MG_7499	43158	40881	40672	40470	30894	0.716
WA_A_CRIS_MG_7500	161998	153646	152455	152610	126828	0.783
WA_A_CRIS_MG_7537	24823	23943	23507	23507	20841	0.84
WA_A_CRIS_ST_7499	37091	35427	35156	35060	28936	0.78
WA_A_CRIS_ST_7500	23852	23024	22611	22669	19545	0.819
WA_A_CRIS_ST_7537	26651	25374	25048	25024	20996	0.788
WA_A_FLOR_GL_7696	23366	22692	22130	22250	15455	0.661
WA_A_FLOR_HP_7696	14031	13467	13165	13142	9873	0.704
WA_A_FLOR_MG_7696	41801	40767	40641	40621	33741	0.807
WA_A_FLOR_ST_7696	20891	20168	19668	19808	11613	0.556
WA_A_FORM_GL_7403	19690	19114	18865	18903	12997	0.66
WA_A_FORM_GL_7456	15959	15503	15351	15353	10358	0.649
WA_A_FORM_GL_7550	30200	29243	29019	28966	14634	0.485
WA_A_FORM_GL_7657	18612	17975	17331	17444	11799	0.634
WA_A_FORM_GL_7658	18998	18394	17846	17984	12127	0.638
WA_A_FORM_GL_7675	15770	15234	15035	15080	8751	0.555
WA_A_FORM_GL_7748	25773	24992	24569	24667	13395	0.52
WA_A_FORM_HP_7403	27011	26428	26382	26350	24116	0.893
WA_A_FORM_HP_7456	8522	8053	8002	7998	4406	0.517
WA_A_FORM_HP_7550	48397	46980	46920	46930	29677	0.613
WA_A_FORM_HP_7657	22990	22327	22164	22124	17210	0.749
WA_A_FORM_HP_7658	25441	24624	24462	24510	18795	0.739
WA_A_FORM_HP_7675	17423	16942	16894	16894	9271	0.532
WA_A_FORM_HP_7748	15749	15343	15298	15267	10926	0.694
WA_A_FORM_MG_7403	13527	13019	12894	12862	7930	0.586
WA_A_FORM_MG_7456	11105	10744	10732	10730	10597	0.954
WA_A_FORM_MG_7550	27378	26528	26313	26454	21025	0.768
WA_A_FORM_MG_7658	19360	18777	18649	18652	12870	0.665
WA_A_FORM_MG_7675	19507	18995	18961	18946	10850	0.556
WA_A_FORM_MG_7748	13038	12694	12553	12532	8949	0.686
WA_A_FORM_ST_7403	17696	17229	17206	17194	7317	0.413
WA_A_FORM_ST_7456	18623	18066	17932	17934	8483	0.456
WA_A_FORM_ST_7550	26125	25287	25154	25175	17264	0.661
WA_A_FORM_ST_7657	5944	5762	5743	5732	4793	0.806
WA_A_FORM_ST_7658	13458	13047	12969	12987	10911	0.811
WA_A_FORM_ST_7675	22803	22167	21939	22008	14159	0.621
WA_A_FORM_ST_7748	21704	21051	21028	21016	17588	0.81
WA_A_NUTT_EG_7526	34695	33007	32543	32540	23725	0.684
WA_A_NUTT_GL_7431	25002	24364	24235	24248	13023	0.521
WA_A_NUTT_GL_7491	19676	19100	18626	18679	15119	0.768
WA_A_NUTT_GL_7492	49748	47696	46927	46930	38315	0.77
WA_A_NUTT_GL_7526	37789	36078	35172	35114	27158	0.719
WA_A_NUTT_GL_7527	19155	18614	18314	18325	15881	0.829
WA_A_NUTT_GL_7528	116663	113159	111845	112055	93227	0.799
WA_A_NUTT_HP_7431	11737	11257	11083	11094	7712	0.657
WA_A_NUTT_HP_7491	12600	12297	12166	12179	11168	0.886
WA_A_NUTT_HP_7492	23235	22461	22259	22277	11429	0.492
WA_A_NUTT_HP_7526	34767	33842	33728	33710	18816	0.541
WA_A_NUTT_HP_7527	27873	27325	27193	27195	25276	0.907
WA_A_NUTT_HP_7528	61645	59827	59329	59312	53946	0.875
WA_A_NUTT_MG_7431	19360	18595	18565	18561	18330	0.947
WA_A_NUTT_MG_7491	28015	27123	26935	27014	18246	0.651
WA_A_NUTT_MG_7492	29369	28543	28323	28363	19841	0.676
WA_A_NUTT_MG_7526	24428	23661	23482	23479	16283	0.667
WA_A_NUTT_MG_7527	22628	22113	22023	22019	13179	0.582
WA_A_NUTT_MG_7528	29459	28736	28502	28610	18833	0.639
WA_A_NUTT_ST_7431	32449	31188	30657	30745	26470	0.816
WA_A_NUTT_ST_7491	13142	12771	12492	12482	10857	0.826
WA_A_NUTT_ST_7492	30768	29673	29118	29173	20147	0.655
WA_A_NUTT_ST_7526	21878	21122	20650	20744	16636	0.76
WA_A_NUTT_ST_7527	23373	22662	22293	22259	19798	0.847
WA_A_NUTT_ST_7528	34753	33472	33152	33202	24737	0.712
WA_A_PARA_EG_7451	14206	13295	12976	13000	10748	0.757
WA_A_PARA_GL_7451	15481	14563	14454	14452	12086	0.781
WA_A_PARA_GL_7462	29161	27914	27550	27588	14872	0.51
WA_A_PARA_GL_7467	30723	29900	29492	29563	17554	0.571
WA_A_PARA_HP_7451	3039	2865	2798	2827	2383	0.784
WA_A_PARA_HP_7462	21504	20029	19914	19935	12340	0.574
WA_A_PARA_HP_7467	14208	13180	13146	13112	9662	0.68
WA_A_PARA_MG_7451	11544	11096	11057	11045	10461	0.906
WA_A_PARA_MG_7462	34745	33758	33585	33668	29494	0.849
WA_A_PARA_MG_7467	29877	28863	28750	28722	13621	0.456
WA_A_PARA_ST_7451	14378	13792	13409	13458	11206	0.779
WA_A_PARA_ST_7462	24352	23688	23479	23455	16891	0.694
WA_A_PARA_ST_7467	25989	24933	24617	24568	18630	0.717
WA_A_PCNS_EG_7604	12023	11269	11174	11218	6840	0.569
WA_A_PCNS_EG_7715	15114	14605	14348	14402	9601	0.635
WA_A_PCNS_GL_7446	33999	32126	31993	31944	25085	0.738
WA_A_PCNS_GL_7554	4107	3893	3865	3851	3044	0.741
WA_A_PCNS_GL_7604	19617	18671	18603	18586	15153	0.772
WA_A_PCNS_GL_7715	18541	17550	17464	17494	11601	0.626
WA_A_PCNS_HP_7446	24650	22644	22499	22573	16985	0.689
WA_A_PCNS_HP_7554	6444	6226	6096	6156	5518	0.856
WA_A_PCNS_HP_7604	6730	6413	6382	6322	3879	0.576
WA_A_PCNS_HP_7715	8733	7126	7058	7057	5224	0.598
WA_A_PCNS_MG_7446	22538	21922	21826	21844	16669	0.74
WA_A_PCNS_MG_7554	11409	11132	11113	11080	7830	0.686
WA_A_PCNS_MG_7604	20032	19564	19371	19521	9946	0.497
WA_A_PCNS_MG_7715	27262	26178	26085	26110	14803	0.543
WA_A_PCNS_ST_7446	32466	31222	30950	30940	24871	0.766
WA_A_PCNS_ST_7554	4401	4290	4189	4222	3671	0.834
WA_A_PCNS_ST_7604	35560	34201	33815	33811	24732	0.696
WA_A_PCNS_ST_7715	9098	7835	7785	7777	5912	0.65
WA_A_PCWS_EG_7444	25610	24595	24203	24246	18456	0.721
WA_A_PCWS_EG_7558	21069	20314	20005	20015	15993	0.759
WA_A_PCWS_GL_7439	34355	32487	32414	32416	28501	0.83
WA_A_PCWS_GL_7444	19643	19226	19183	19193	18588	0.946
WA_A_PCWS_GL_7555	15894	15018	14987	14976	13746	0.865
WA_A_PCWS_GL_7556	24231	23728	23664	23679	11013	0.455
WA_A_PCWS_GL_7557	11449	10914	10879	10888	9784	0.855
WA_A_PCWS_GL_7558	14216	13430	13398	13376	10992	0.773
WA_A_PCWS_GL_7672	10938	10418	10334	10319	8250	0.754
WA_A_PCWS_HP_7400	26200	24823	24712	24711	20467	0.781
WA_A_PCWS_HP_7439	19169	18216	18159	18108	14544	0.759
WA_A_PCWS_HP_7444	28813	28304	28262	28251	27897	0.968
WA_A_PCWS_HP_7555	21353	19718	19680	19675	17125	0.802
WA_A_PCWS_HP_7556	19755	19414	19384	19338	11533	0.584
WA_A_PCWS_HP_7557	13230	12451	12366	12411	10626	0.803
WA_A_PCWS_HP_7558	19771	19388	19316	19323	18191	0.92
WA_A_PCWS_HP_7672	17809	17098	17002	16991	14781	0.83
WA_A_PCWS_MG_7400	44010	42482	42386	42421	39056	0.887
WA_A_PCWS_MG_7439	26052	25284	25216	25226	23474	0.901
WA_A_PCWS_MG_7444	26829	26100	26043	26041	24616	0.918
WA_A_PCWS_MG_7555	33430	32439	32390	32391	26541	0.794
WA_A_PCWS_MG_7556	21284	20799	20747	20769	15769	0.741
WA_A_PCWS_MG_7558	30363	29628	29528	29544	26875	0.885
WA_A_PCWS_MG_7672	19739	19235	19023	19068	11152	0.565
WA_A_PCWS_ST_7400	30937	30022	29928	29962	26199	0.847
WA_A_PCWS_ST_7439	24388	22802	22662	22623	16238	0.666
WA_A_PCWS_ST_7444	36648	35905	35737	35684	33023	0.901
WA_A_PCWS_ST_7555	29840	28413	28264	28089	21454	0.719
WA_A_PCWS_ST_7556	23606	23203	23173	23181	10299	0.436
WA_A_PCWS_ST_7558	21432	21004	20902	20906	19104	0.891
WA_A_PCWS_ST_7672	47567	45163	44925	44796	33992	0.715
WA_A_THOM_GL_7393	35508	34206	34050	34045	31467	0.886
WA_A_THOM_GL_7417	124033	120712	119770	120057	87369	0.704
WA_A_THOM_GL_7420	17347	16889	16803	16819	11576	0.667
WA_A_THOM_GL_7480	9981	9631	9592	9583	5351	0.536
WA_A_THOM_GL_7502	21927	21187	20863	20883	16992	0.775
WA_A_THOM_GL_7540	14479	13996	13732	13779	8488	0.586
WA_A_THOM_GL_7543	82265	79851	79565	79441	58617	0.713
WA_A_THOM_HP_7393	17689	15456	15383	15358	12986	0.734
WA_A_THOM_HP_7417	97755	95085	94799	94775	86305	0.883
WA_A_THOM_HP_7420	7452	7248	7180	7188	6772	0.909
WA_A_THOM_HP_7480	13957	13400	13322	13296	10158	0.728
WA_A_THOM_HP_7502	61974	60121	60059	60009	39449	0.637
WA_A_THOM_HP_7540	8871	8615	8506	8510	4124	0.465
WA_A_THOM_HP_7543	64840	63559	63430	63410	58520	0.903
WA_A_THOM_MG_7393	22904	22100	22001	22007	15602	0.681
WA_A_THOM_MG_7417	88970	86342	86075	86093	72698	0.817
WA_A_THOM_MG_7420	31646	30332	30007	30093	26458	0.836
WA_A_THOM_MG_7480	2366	2294	2243	2253	2062	0.872
WA_A_THOM_MG_7502	27689	26664	26551	26502	14851	0.536
WA_A_THOM_MG_7540	19002	18450	18234	18265	11893	0.626
WA_A_THOM_MG_7543	139156	134945	134223	133544	115776	0.832
WA_A_THOM_ST_7393	21331	20609	20345	20316	14981	0.702
WA_A_THOM_ST_7417	121610	117551	116684	116736	98056	0.806
WA_A_THOM_ST_7420	3761	3659	3648	3643	1666	0.443
WA_A_THOM_ST_7480	23719	23107	22999	22992	20238	0.853
WA_A_THOM_ST_7502	33954	32787	31977	32022	18758	0.552
WA_A_THOM_ST_7540	15172	14687	14363	14380	9869	0.65
WA_A_THOM_ST_7543	121248	117275	116614	116607	90667	0.748
WA_A_VERR_GL_9507	25291	24353	23838	23895	16368	0.647
WA_A_VERR_HP_9507	19570	18846	18696	18743	14072	0.719
WA_A_VERR_MG_9507	16274	15761	15545	15599	9654	0.593
WA_A_VERR_ST_9507	20745	19961	19371	19470	11447	0.552
WA_A_WEBS_GL_7422	23540	22574	22478	22452	19290	0.819
WA_A_WEBS_GL_7730	19480	18971	18761	18815	16053	0.824
WA_A_WEBS_HP_7422	23619	22610	22525	22515	19487	0.825
WA_A_WEBS_HP_7730	15320	14910	14787	14829	10586	0.691
WA_A_WEBS_MG_7422	13300	12538	12490	12497	8019	0.603
WA_A_WEBS_MG_7730	18391	17885	17802	17817	11563	0.629
WA_A_WEBS_ST_7422	36576	34759	34488	34435	26592	0.727
WA_A_WEBS_ST_7730	26542	25464	25018	25214	15858	0.597
