SampleID	input	filtered	per_reads_kept
EP_A_AREN_MG_8651	13926	13474	0.968
EP_A_AREN_MG_8652	15416	14751	0.957
EP_A_AREN_MG_8654	8607	8343	0.969
EP_A_AREN_MG_8697	12970	12704	0.979
EP_A_AREN_MG_8698	6690	6335	0.947
EP_A_AREN_MG_8699	15765	15353	0.974
EP_A_AREN_ST_8465	7381	7159	0.97
EP_A_AREN_ST_8507	30381	29248	0.963
EP_A_AREN_ST_8508	10762	10409	0.967
EP_A_AREN_ST_8515	10640	10126	0.952
EP_A_AREN_ST_8520	14696	14386	0.979
EP_A_AREN_ST_8624	17262	16700	0.967
EP_A_AREN_ST_8625	19028	18378	0.966
EP_A_AREN_ST_8626	12365	11948	0.966
EP_A_AREN_ST_8627	3981	3901	0.98
EP_A_AREN_ST_8650	29336	28758	0.98
EP_A_AREN_ST_8651	4387	4320	0.985
EP_A_AREN_ST_8652	17941	17182	0.958
EP_A_AREN_ST_8654	18248	17385	0.953
EP_A_AREN_ST_8658	14463	14118	0.976
EP_A_AREN_ST_8697	16552	15869	0.959
EP_A_AREN_ST_8698	12635	12004	0.95
EP_A_AREN_ST_8699	10020	9774	0.975
EP_A_FASC_EG_8620	24360	23421	0.961
EP_A_FASC_EG_8989	20567	19910	0.968
EP_A_FASC_EG_9051	16732	16176	0.967
EP_A_FASC_GL_8614	65027	62088	0.955
EP_A_FASC_GL_8618	38873	36764	0.946
EP_A_FASC_GL_8620	36974	35250	0.953
EP_A_FASC_GL_8989	23379	22596	0.967
EP_A_FASC_GL_9051	11754	11329	0.964
EP_A_FASC_GL_9107	13581	13242	0.975
EP_A_FASC_HP_8614	84931	82023	0.966
EP_A_FASC_HP_8618	23835	22957	0.963
EP_A_FASC_HP_8620	44647	42445	0.951
EP_A_FASC_HP_8989	83400	81513	0.977
EP_A_FASC_HP_9051	8785	8380	0.954
EP_A_FASC_HP_9107	170149	161441	0.949
EP_A_FASC_MG_8614	58403	56786	0.972
EP_A_FASC_MG_8618	36886	36137	0.98
EP_A_FASC_MG_8620	41108	40278	0.98
EP_A_FASC_MG_8989	19965	18722	0.938
EP_A_FASC_MG_9051	211356	204348	0.967
EP_A_FASC_MG_9107	29627	28842	0.974
EP_A_FASC_ST_8614	51193	49679	0.97
EP_A_FASC_ST_8618	31831	30837	0.969
EP_A_FASC_ST_8620	37366	35088	0.939
EP_A_FASC_ST_8989	22632	21903	0.968
EP_A_FASC_ST_9051	10587	10336	0.976
EP_A_GALA_EG_7265	29925	29005	0.969
EP_A_GALA_EG_7367	25913	24861	0.959
EP_A_GALA_EG_7370	4633	4468	0.964
EP_A_GALA_GL_7265	30092	29111	0.967
EP_A_GALA_GL_7365	15115	13590	0.899
EP_A_GALA_GL_7366	20325	19737	0.971
EP_A_GALA_GL_7367	18838	18004	0.956
EP_A_GALA_GL_7368	18894	18112	0.959
EP_A_GALA_GL_7369	21818	21090	0.967
EP_A_GALA_GL_7370	27800	26619	0.958
EP_A_GALA_GL_8661	33948	32917	0.97
EP_A_GALA_HP_7265	45382	44413	0.979
EP_A_GALA_HP_7365	26541	25918	0.977
EP_A_GALA_HP_7366	26995	26637	0.987
EP_A_GALA_HP_7367	23756	23375	0.984
EP_A_GALA_HP_7368	19995	19517	0.976
EP_A_GALA_HP_7369	25548	25061	0.981
EP_A_GALA_HP_7370	37793	37292	0.987
EP_A_GALA_HP_8661	39311	38159	0.971
EP_A_GALA_MG_7265	50617	49533	0.979
EP_A_GALA_MG_7365	20061	19285	0.961
EP_A_GALA_MG_7366	20706	19108	0.923
EP_A_GALA_MG_7367	29324	28816	0.983
EP_A_GALA_MG_7368	26373	25659	0.973
EP_A_GALA_MG_7369	20449	19640	0.96
EP_A_GALA_MG_7370	17244	16898	0.98
EP_A_GALA_MG_8661	32388	31406	0.97
EP_A_GALA_ST_7265	47956	46965	0.979
EP_A_GALA_ST_7365	23352	22873	0.979
EP_A_GALA_ST_7366	33919	32265	0.951
EP_A_GALA_ST_7367	21082	20604	0.977
EP_A_GALA_ST_7368	24851	24144	0.972
EP_A_GALA_ST_7369	33644	33044	0.982
EP_A_GALA_ST_7370	22719	22441	0.988
EP_A_GALA_ST_8661	34174	32969	0.965
EP_A_HEBE_EG_7359	22285	20902	0.938
EP_A_HEBE_EG_8629	25504	24744	0.97
EP_A_HEBE_GL_7357	11926	11130	0.933
EP_A_HEBE_GL_7358	25722	23276	0.905
EP_A_HEBE_GL_7359	29611	28668	0.968
EP_A_HEBE_GL_7360	21395	20701	0.968
EP_A_HEBE_GL_8628	10422	10104	0.969
EP_A_HEBE_GL_8629	16076	15673	0.975
EP_A_HEBE_HP_7357	23076	21615	0.937
EP_A_HEBE_HP_7358	22280	21380	0.96
EP_A_HEBE_HP_7359	28243	27343	0.968
EP_A_HEBE_HP_7360	11649	10889	0.935
EP_A_HEBE_HP_8628	12228	11942	0.977
EP_A_HEBE_HP_8629	17812	17469	0.981
EP_A_HEBE_MG_7357	20376	19943	0.979
EP_A_HEBE_MG_7358	11479	11149	0.971
EP_A_HEBE_MG_7359	16179	15592	0.964
EP_A_HEBE_MG_7360	17367	16887	0.972
EP_A_HEBE_MG_8628	6347	6255	0.986
EP_A_HEBE_MG_8629	12117	11911	0.983
EP_A_HEBE_ST_7357	35880	34730	0.968
EP_A_HEBE_ST_7358	27488	26043	0.947
EP_A_HEBE_ST_7359	16320	15532	0.952
EP_A_HEBE_ST_7360	18962	18310	0.966
EP_A_HEBE_ST_8628	15748	15356	0.975
EP_A_HEBE_ST_8629	19290	18872	0.978
EP_A_HEPH_GL_8925	14808	14263	0.963
EP_A_HEPH_HP_8925	8135	7892	0.97
EP_A_HEPH_MG_8925	11243	10897	0.969
EP_A_HEPH_ST_8925	16210	15738	0.971
EP_A_HYEY_GL_8881	60496	58929	0.974
EP_A_HYEY_HP_8881	19614	18968	0.967
EP_A_HYEY_MG_8881	29292	28423	0.97
EP_A_HYEY_ST_8881	36893	35339	0.958
EP_A_JAVI_EG_7304	29324	27547	0.939
EP_A_JAVI_EG_7381	23280	22400	0.962
EP_A_JAVI_EG_8360	34264	32624	0.952
EP_A_JAVI_EG_8377	11468	11128	0.97
EP_A_JAVI_GL_7264	28812	27796	0.965
EP_A_JAVI_GL_7270	30316	29680	0.979
EP_A_JAVI_GL_7277	41192	40131	0.974
EP_A_JAVI_GL_7280	30306	29267	0.966
EP_A_JAVI_GL_7281	28975	27757	0.958
EP_A_JAVI_GL_7286	13655	13036	0.955
EP_A_JAVI_GL_7304	38369	37324	0.973
EP_A_JAVI_GL_7318	27461	26403	0.961
EP_A_JAVI_GL_7381	22223	21402	0.963
EP_A_JAVI_GL_8357	11652	11147	0.957
EP_A_JAVI_GL_8359	46527	44320	0.953
EP_A_JAVI_GL_8360	45459	44283	0.974
EP_A_JAVI_GL_8376	7910	7678	0.971
EP_A_JAVI_GL_8377	11277	11002	0.976
EP_A_JAVI_GL_8379	44988	43221	0.961
EP_A_JAVI_GL_8394	5360	4853	0.905
EP_A_JAVI_HP_7264	48458	46639	0.962
EP_A_JAVI_HP_7270	11790	11119	0.943
EP_A_JAVI_HP_7277	20148	19496	0.968
EP_A_JAVI_HP_7280	8347	8016	0.96
EP_A_JAVI_HP_7281	17379	14785	0.851
EP_A_JAVI_HP_7286	8302	7736	0.932
EP_A_JAVI_HP_7304	27360	26471	0.968
EP_A_JAVI_HP_7318	35580	34173	0.96
EP_A_JAVI_HP_7381	21638	20934	0.967
EP_A_JAVI_HP_8357	11052	10566	0.956
EP_A_JAVI_HP_8359	32395	31157	0.962
EP_A_JAVI_HP_8360	17889	17257	0.965
EP_A_JAVI_HP_8376	6941	6627	0.955
EP_A_JAVI_HP_8377	14822	14229	0.96
EP_A_JAVI_HP_8379	16695	15984	0.957
EP_A_JAVI_HP_8394	7022	6765	0.963
EP_A_JAVI_MG_7264	48530	47632	0.981
EP_A_JAVI_MG_7270	29671	28457	0.959
EP_A_JAVI_MG_7277	17504	16790	0.959
EP_A_JAVI_MG_7280	27428	26853	0.979
EP_A_JAVI_MG_7281	43518	42354	0.973
EP_A_JAVI_MG_7286	21004	20636	0.982
EP_A_JAVI_MG_7304	30921	30001	0.97
EP_A_JAVI_MG_7318	31616	30876	0.977
EP_A_JAVI_MG_7381	19268	18775	0.974
EP_A_JAVI_MG_8357	9539	9121	0.956
EP_A_JAVI_MG_8359	56289	55033	0.978
EP_A_JAVI_MG_8360	25635	25195	0.983
EP_A_JAVI_MG_8376	213618	206202	0.965
EP_A_JAVI_MG_8377	12452	11757	0.944
EP_A_JAVI_MG_8379	26397	25469	0.965
EP_A_JAVI_MG_8394	15424	15149	0.982
EP_A_JAVI_ST_7264	46873	45157	0.963
EP_A_JAVI_ST_7270	54097	52566	0.972
EP_A_JAVI_ST_7277	25062	24420	0.974
EP_A_JAVI_ST_7280	23822	22849	0.959
EP_A_JAVI_ST_7281	48451	47098	0.972
EP_A_JAVI_ST_7286	29454	28193	0.957
EP_A_JAVI_ST_7304	32458	31526	0.971
EP_A_JAVI_ST_7318	28979	27592	0.952
EP_A_JAVI_ST_7381	38919	37870	0.973
EP_A_JAVI_ST_8357	283107	271001	0.957
EP_A_JAVI_ST_8359	41801	40630	0.972
EP_A_JAVI_ST_8360	16844	16414	0.974
EP_A_JAVI_ST_8376	11971	11495	0.96
EP_A_JAVI_ST_8377	11775	11420	0.97
EP_A_JAVI_ST_8379	28487	26974	0.947
EP_A_JAVI_ST_8394	15908	15472	0.973
EP_A_MILL_EG_7336	11425	11100	0.972
EP_A_MILL_GL_7335	17835	17444	0.978
EP_A_MILL_GL_7336	12502	11974	0.958
EP_A_MILL_HP_7335	13859	12308	0.888
EP_A_MILL_HP_7336	5452	5302	0.972
EP_A_MILL_MG_7335	10068	9881	0.981
EP_A_MILL_MG_7336	8469	8250	0.974
EP_A_MILL_ST_7335	20749	20170	0.972
EP_A_MILL_ST_7336	22375	21178	0.947
EP_A_PANA_EG_7327	19213	18680	0.972
EP_A_PANA_EG_8353	13381	13043	0.975
EP_A_PANA_EG_8792	9645	9399	0.974
EP_A_PANA_GL_7322	16368	15779	0.964
EP_A_PANA_GL_7326	23896	23096	0.967
EP_A_PANA_GL_7327	18908	17976	0.951
EP_A_PANA_GL_7329	18100	17583	0.971
EP_A_PANA_GL_7330	14118	13546	0.959
EP_A_PANA_GL_7331	37890	36524	0.964
EP_A_PANA_GL_7332	24346	23279	0.956
EP_A_PANA_GL_8353	18408	17501	0.951
EP_A_PANA_GL_8792	12503	12023	0.962
EP_A_PANA_HP_7322	25300	24856	0.982
EP_A_PANA_HP_7326	45352	44704	0.986
EP_A_PANA_HP_7327	32896	32409	0.985
EP_A_PANA_HP_7329	32494	32101	0.988
EP_A_PANA_HP_7330	20179	19867	0.985
EP_A_PANA_HP_7331	38386	37775	0.984
EP_A_PANA_HP_7332M	18811	18348	0.975
EP_A_PANA_HP_7332	41591	40822	0.982
EP_A_PANA_HP_8353	6855	6479	0.945
EP_A_PANA_HP_8792	17420	16242	0.932
EP_A_PANA_MG_7322	29464	28647	0.972
EP_A_PANA_MG_7326	31787	31148	0.98
EP_A_PANA_MG_7327	27684	27055	0.977
EP_A_PANA_MG_7329	8553	8409	0.983
EP_A_PANA_MG_7330	16590	15971	0.963
EP_A_PANA_MG_7331	28763	27853	0.968
EP_A_PANA_MG_8353	20504	19925	0.972
EP_A_PANA_MG_8792	16170	15722	0.972
EP_A_PANA_ST_7322	30134	29528	0.98
EP_A_PANA_ST_7326	33606	32937	0.98
EP_A_PANA_ST_7327	23985	23519	0.981
EP_A_PANA_ST_7329	41263	40565	0.983
EP_A_PANA_ST_7330	29972	29080	0.97
EP_A_PANA_ST_7332	25503	24641	0.966
EP_A_PANA_ST_8353	18153	17623	0.971
EP_A_PANA_ST_8792	16125	15648	0.97
EP_A_ROST_EG_9073	17094	16621	0.972
EP_A_ROST_GL_9073	6407	6158	0.961
EP_A_ROST_GL_9114	15039	14431	0.96
EP_A_ROST_HP_9073	6452	6210	0.962
EP_A_ROST_HP_9114	10775	10233	0.95
EP_A_ROST_MG_9073	11885	11486	0.966
EP_A_ROST_MG_9114	16533	15988	0.967
EP_A_ROST_ST_9073	16580	15892	0.959
EP_A_ROST_ST_9114	9838	9333	0.949
EP_A_SAXI_EG_8612	29174	28149	0.965
EP_A_SAXI_EG_8673	29395	28097	0.956
EP_A_SAXI_EG_8686	25870	24472	0.946
EP_A_SAXI_EG_9243	38396	37237	0.97
EP_A_SAXI_EG_9245	14988	14288	0.953
EP_A_SAXI_EG_9257	27916	27065	0.97
EP_A_SAXI_EG_9261	27328	26653	0.975
EP_A_SAXI_GL_8497	35079	34324	0.978
EP_A_SAXI_GL_8612	28498	26984	0.947
EP_A_SAXI_GL_8673	38947	38090	0.978
EP_A_SAXI_GL_8678	12877	12451	0.967
EP_A_SAXI_GL_8686	25650	24982	0.974
EP_A_SAXI_GL_9243	20010	19453	0.972
EP_A_SAXI_GL_9245	21734	21117	0.972
EP_A_SAXI_GL_9257	31888	30795	0.966
EP_A_SAXI_GL_9261	29153	28289	0.97
EP_A_SAXI_HP_8497	49464	48934	0.989
EP_A_SAXI_HP_8612	16313	16004	0.981
EP_A_SAXI_HP_8673	42630	42087	0.987
EP_A_SAXI_HP_8678	46320	45756	0.988
EP_A_SAXI_HP_8686	35387	34853	0.985
EP_A_SAXI_HP_9243	6465	6114	0.946
EP_A_SAXI_HP_9245	18786	18229	0.97
EP_A_SAXI_HP_9257	8116	7821	0.964
EP_A_SAXI_HP_9261	11481	10969	0.955
EP_A_SAXI_MG_8497	33828	33165	0.98
EP_A_SAXI_MG_8673	24017	23288	0.97
EP_A_SAXI_MG_8686	32882	31938	0.971
EP_A_SAXI_MG_9243	25941	25205	0.972
EP_A_SAXI_MG_9245	29141	28380	0.974
EP_A_SAXI_MG_9257	29699	28582	0.962
EP_A_SAXI_MG_9261	35337	34527	0.977
EP_A_UMBO_EG_8669	19288	17953	0.931
EP_A_UMBO_GL_8669	11820	11547	0.977
EP_A_UMBO_GL_8670	8456	8120	0.96
EP_A_UMBO_GL_8671	14888	14494	0.974
EP_A_UMBO_GL_8691	10393	9990	0.961
EP_A_UMBO_GL_8692	20397	19364	0.949
EP_A_UMBO_GL_8693	24560	23833	0.97
EP_A_UMBO_HP_8669	14339	14016	0.977
EP_A_UMBO_HP_8670	6594	6350	0.963
EP_A_UMBO_HP_8671	9197	8989	0.977
EP_A_UMBO_HP_8691	10577	10225	0.967
EP_A_UMBO_HP_8692	13935	13601	0.976
EP_A_UMBO_HP_8693	20364	19467	0.956
EP_A_UMBO_MG_8669	11516	11144	0.968
EP_A_UMBO_MG_8670	11549	11117	0.963
EP_A_UMBO_MG_8671	13638	13220	0.969
EP_A_UMBO_MG_8691	217048	210318	0.969
EP_A_UMBO_MG_8692	15739	15343	0.975
EP_A_UMBO_MG_8693	19568	18941	0.968
EP_A_UMBO_ST_8669	28173	27070	0.961
EP_A_UMBO_ST_8670	10179	9770	0.96
EP_A_UMBO_ST_8671	7309	7159	0.979
EP_A_UMBO_ST_8691	9065	8812	0.972
EP_A_UMBO_ST_8692	19807	18945	0.956
EP_A_UMBO_ST_8693	30977	30219	0.976
EP_A_UTRI_EG_8448	40965	39825	0.972
EP_A_UTRI_EG_9188	12602	12000	0.952
EP_A_UTRI_GL_8447	20525	19836	0.966
EP_A_UTRI_GL_8448	38504	36757	0.955
EP_A_UTRI_GL_8483	12957	12402	0.957
EP_A_UTRI_GL_8916	5393	5221	0.968
EP_A_UTRI_GL_9188	20096	18791	0.935
EP_A_UTRI_HP_8447	35727	34620	0.969
EP_A_UTRI_HP_8448	33942	32646	0.962
EP_A_UTRI_HP_8483	12485	12023	0.963
EP_A_UTRI_HP_8916	19131	18575	0.971
EP_A_UTRI_HP_9188	19379	17772	0.917
EP_A_UTRI_MG_8447	25185	24393	0.969
EP_A_UTRI_MG_8448	44671	43533	0.975
EP_A_UTRI_MG_8483	13849	13432	0.97
EP_A_UTRI_MG_8916	9767	9417	0.964
EP_A_UTRI_MG_9188	18250	17684	0.969
EP_A_UTRI_ST_8447	36793	35481	0.964
EP_A_UTRI_ST_8448	42292	40981	0.969
EP_A_UTRI_ST_8483	199687	189610	0.95
EP_A_UTRI_ST_9188	14857	14494	0.976
EP_UNKN_EG_8158	58365	56323	0.965
EP_UNKN_GL_8158	37239	35943	0.965
EP_UNKN_HP_8158	53134	51655	0.972
EP_UNKN_MG_8158	43729	41803	0.956
EP_UNKN_ST_8158	40080	39013	0.973
