ASV_ID	total_reads_NC	total_reads_samps	perc_in_neg	total_samples	num_samp_nc	num_samp_no_nc	perc_in_neg_samp
ASV6916	246	0	100	1	1	0	100
ASV6947	234	10	95.901639	3	2	1	66.66666666666666
ASV6978	214	29	88.065844	2	1	1	50
ASV6979	243	0	100	1	1	0	100
ASV7044	170	70	70.833333	8	2	6	25
ASV7090	238	0	100	1	1	0	100
ASV7180	233	0	100	1	1	0	100
ASV7285	229	0	100	1	1	0	100
ASV7379	105	120	46.666667	7	1	6	14.285714285714285
ASV7451	222	0	100	1	1	0	100
ASV7641	140	72	66.037736	15	2	13	13.333333333333334
ASV7829	30	175	14.634146	32	2	30	6.25
ASV7914	154	48	76.237624	3	1	2	33.33333333333333
ASV8015	93	105	46.969697	3	1	2	33.33333333333333
ASV8069	93	103	47.44898	4	1	3	25
ASV8091	195	0	100	1	1	0	100
ASV8303	187	0	100	1	1	0	100
ASV8317	35	152	18.716578	11	1	10	9.090909090909092
ASV8320	187	0	100	1	1	0	100
ASV8330	187	0	100	1	1	0	100
ASV8344	186	0	100	1	1	0	100
ASV8435	183	0	100	1	1	0	100
ASV8454	182	0	100	2	2	0	100
ASV8468	182	0	100	1	1	0	100
ASV8491	1	180	0.552486	13	1	12	7.6923076923076925
ASV8556	179	0	100	1	1	0	100
ASV8563	45	134	25.139665	7	1	6	14.285714285714285
ASV8599	69	109	38.764045	6	1	5	16.666666666666664
ASV8603	119	59	66.853933	5	1	4	20
ASV8702	27	148	15.428571	26	1	25	3.8461538461538463
ASV8731	174	0	100	1	1	0	100
ASV8819	20	151	11.695906	14	1	13	7.142857142857142
ASV9023	65	100	39.393939	6	1	5	16.666666666666664
ASV9065	164	0	100	1	1	0	100
ASV9107	78	84	48.148148	2	1	1	50
ASV9416	154	0	100	1	1	0	100
ASV9451	153	0	100	1	1	0	100
ASV9717	147	0	100	1	1	0	100
ASV9747	3	143	2.054795	7	1	6	14.285714285714285
ASV9848	46	98	31.944444	6	1	5	16.666666666666664
ASV10062	45	94	32.374101	9	1	8	11.11111111111111
ASV10124	16	122	11.594203	3	1	2	33.33333333333333
ASV10198	17	119	12.5	5	1	4	20
ASV10463	131	0	100	1	1	0	100
ASV10587	129	0	100	1	1	0	100
ASV10634	129	0	100	1	1	0	100
ASV10694	65	62	51.181102	2	1	1	50
ASV10725	127	0	100	1	1	0	100
ASV10742	113	14	88.976378	2	1	1	50
ASV11195	105	14	88.235294	2	1	1	50
ASV11251	10	108	8.474576	9	1	8	11.11111111111111
ASV11346	97	20	82.905983	3	1	2	33.33333333333333
ASV11468	115	0	100	1	1	0	100
ASV11548	114	0	100	1	1	0	100
ASV11594	95	18	84.070796	3	1	2	33.33333333333333
ASV11750	34	77	30.630631	2	1	1	50
ASV11884	109	0	100	1	1	0	100
ASV12021	107	0	100	1	1	0	100
ASV12081	75	31	70.754717	3	1	2	33.33333333333333
ASV12098	8	98	7.54717	10	1	9	10
ASV12144	37	68	35.238095	6	1	5	16.666666666666664
ASV12208	104	0	100	1	1	0	100
ASV12354	103	0	100	1	1	0	100
ASV12468	101	0	100	1	1	0	100
ASV12582	100	0	100	1	1	0	100
ASV12696	94	4	95.918367	2	1	1	50
ASV12713	98	0	100	1	1	0	100
ASV12714	98	0	100	1	1	0	100
ASV12755	97	0	100	1	1	0	100
ASV12783	97	0	100	1	1	0	100
ASV12878	64	32	66.666667	9	1	8	11.11111111111111
ASV12971	95	0	100	1	1	0	100
ASV13302	18	73	19.78022	8	1	7	12.5
ASV13751	87	0	100	1	1	0	100
ASV13804	30	56	34.883721	22	2	20	9.090909090909092
ASV13918	85	0	100	1	1	0	100
ASV14027	3	81	3.571429	2	1	1	50
ASV14055	84	0	100	1	1	0	100
ASV14437	81	0	100	1	1	0	100
ASV14537	80	0	100	1	1	0	100
ASV14617	79	0	100	1	1	0	100
ASV14618	79	0	100	1	1	0	100
ASV14831	51	26	66.233766	2	1	1	50
ASV14869	42	35	54.545455	4	1	3	25
ASV14882	77	0	100	1	1	0	100
ASV14905	77	0	100	1	1	0	100
ASV15370	73	0	100	1	1	0	100
ASV15784	70	0	100	1	1	0	100
ASV15980	69	0	100	1	1	0	100
ASV16015	68	0	100	1	1	0	100
ASV16254	67	0	100	1	1	0	100
ASV16720	1	63	1.5625	9	1	8	11.11111111111111
ASV16837	2	61	3.174603	6	1	5	16.666666666666664
ASV16864	40	23	63.492063	7	3	4	42.857142857142854
ASV17262	61	0	100	1	1	0	100
ASV17538	59	0	100	1	1	0	100
ASV17827	58	0	100	1	1	0	100
ASV18022	57	0	100	1	1	0	100
ASV18134	1	55	1.785714	10	1	9	10
ASV18161	4	52	7.142857	27	1	26	3.7037037037037033
ASV18278	56	0	100	1	1	0	100
ASV18398	55	0	100	1	1	0	100
ASV18479	55	0	100	1	1	0	100
ASV18531	54	0	100	1	1	0	100
ASV18605	54	0	100	1	1	0	100
ASV18780	45	8	84.90566	2	1	1	50
ASV19138	52	0	100	1	1	0	100
ASV19362	51	0	100	1	1	0	100
ASV19417	50	0	100	1	1	0	100
ASV19502	50	0	100	1	1	0	100
ASV19526	39	11	78	2	1	1	50
ASV19546	50	0	100	1	1	0	100
ASV19594	50	0	100	1	1	0	100
ASV19610	50	0	100	1	1	0	100
ASV19749	49	0	100	1	1	0	100
ASV19995	48	0	100	1	1	0	100
ASV20621	46	0	100	1	1	0	100
ASV20938	45	0	100	1	1	0	100
ASV21647	42	0	100	1	1	0	100
ASV21794	42	0	100	1	1	0	100
ASV21938	41	0	100	1	1	0	100
ASV22397	40	0	100	1	1	0	100
ASV22433	1	39	2.5	4	1	3	25
ASV22773	39	0	100	1	1	0	100
ASV23416	37	0	100	1	1	0	100
ASV23417	37	0	100	1	1	0	100
ASV23670	32	4	88.888889	2	1	1	50
ASV23798	36	0	100	1	1	0	100
ASV23799	36	0	100	1	1	0	100
ASV24082	8	27	22.857143	4	1	3	25
ASV24211	35	0	100	1	1	0	100
ASV24616	34	0	100	1	1	0	100
ASV24808	33	0	100	1	1	0	100
ASV25286	32	0	100	1	1	0	100
ASV25471	32	0	100	1	1	0	100
ASV25472	32	0	100	1	1	0	100
ASV25508	32	0	100	1	1	0	100
ASV25808	31	0	100	1	1	0	100
ASV25924	31	0	100	1	1	0	100
ASV26023	30	0	100	1	1	0	100
