SampleID	input	filtered	denoisedF	denoisedR	merged	per_reads_kept
WA_A_BAHA_MG_7514	6690	6552	6511	6514	6396	0.956
WA_A_BAHA_MG_7516	71453	67285	67226	67181	66946	0.937
WA_A_BAHA_ST_7470	41303	39647	39506	39567	39211	0.949
WA_A_BAHA_ST_7475	51553	49160	48837	48891	48106	0.933
WA_A_BAHA_ST_7478	3117	2981	2880	2898	2749	0.882
WA_A_BAHA_ST_7514	17093	16650	16501	16523	16016	0.937
WA_A_BAHA_ST_7516	44179	42591	42469	42477	41993	0.951
WA_A_BOUV_EG_7582	44831	42870	42316	42486	41489	0.925
WA_A_BOUV_EG_7585	2802	2622	2581	2582	2304	0.822
WA_A_BOUV_GL_7582	42505	39345	39242	39214	38852	0.914
WA_A_BOUV_GL_7585	3815	3621	3576	3582	3515	0.921
WA_A_BOUV_GL_7588	2870	2663	2631	2634	2590	0.902
WA_A_BOUV_HP_7582	25098	22805	22725	22742	22604	0.901
WA_A_BOUV_HP_7585	14596	13703	13607	13655	13519	0.926
WA_A_BOUV_HP_7588	4535	4424	4393	4401	4364	0.962
WA_A_BOUV_MG_7582	2587	2544	2542	2540	2540	0.982
WA_A_BOUV_MG_7585	7889	7646	7630	7632	7623	0.966
WA_A_BOUV_MG_7588	16337	16023	15933	15951	15857	0.971
WA_A_BOUV_ST_7582	3387	3122	3052	3085	2985	0.881
WA_A_BOUV_ST_7585	3434	3229	3056	3088	2729	0.795
WA_A_BOUV_ST_7588	27344	25361	25256	25235	24685	0.903
WA_A_CRIS_EG_7536	48477	47173	47032	47061	46777	0.965
WA_A_CRIS_EG_9473	2549	2336	2320	2321	2270	0.891
WA_A_CRIS_EG_9510	9136	8498	8257	8281	8034	0.879
WA_A_CRIS_EG_9623	55373	51435	51199	51291	50532	0.913
WA_A_CRIS_EG_9624	21239	20417	20356	20377	20279	0.955
WA_A_CRIS_GL_7497	15948	15484	15445	15455	15330	0.961
WA_A_CRIS_GL_7536	4145	3968	3952	3957	3934	0.949
WA_A_CRIS_GL_7539	21999	20222	20193	20160	20064	0.912
WA_A_CRIS_GL_9467	39883	38389	38252	38316	38094	0.955
WA_A_CRIS_GL_9473	32213	31083	31005	31033	30689	0.953
WA_A_CRIS_GL_9510	14842	14167	14114	14139	14053	0.947
WA_A_CRIS_GL_9621	18603	17857	17780	17802	17731	0.953
WA_A_CRIS_GL_9623	62281	60605	60541	60567	60451	0.971
WA_A_CRIS_GL_9624	252	231	222	220	219	0.869
WA_A_CRIS_HP_7497	22081	21319	21242	21261	21126	0.957
WA_A_CRIS_HP_7536	882	872	868	867	855	0.969
WA_A_CRIS_HP_7539	17904	15990	15907	15879	15763	0.88
WA_A_CRIS_HP_9467	15085	13967	13962	13938	13854	0.918
WA_A_CRIS_HP_9473	10333	9923	9902	9899	9673	0.936
WA_A_CRIS_HP_9510	12949	11780	11695	11708	11517	0.889
WA_A_CRIS_HP_9621	20308	16966	16899	16916	16791	0.827
WA_A_CRIS_HP_9624	5521	4961	4956	4953	4950	0.897
WA_A_CRIS_MG_7497	4719	4478	4331	4361	4079	0.864
WA_A_CRIS_MG_7536	11887	11664	11538	11557	11352	0.955
WA_A_CRIS_MG_7539	4304	4029	3988	3960	3883	0.902
WA_A_CRIS_MG_9467	47274	45551	45311	45428	44829	0.948
WA_A_CRIS_MG_9473	26398	25134	25020	25067	24645	0.934
WA_A_CRIS_MG_9510	12847	11665	11588	11593	11448	0.891
WA_A_CRIS_MG_9621	19427	18222	18135	18154	17865	0.92
WA_A_CRIS_MG_9623	34980	33718	33672	33667	33304	0.952
WA_A_CRIS_MG_9624	35824	34611	34462	34506	34063	0.951
WA_A_CRIS_ST_7497	2433	2357	2260	2289	2137	0.878
WA_A_CRIS_ST_7536	3876	3757	3649	3677	3470	0.895
WA_A_CRIS_ST_7539	4198	3994	3808	3860	3552	0.846
WA_A_CRIS_ST_9467	42397	40837	40650	40627	40112	0.946
WA_A_CRIS_ST_9473	9732	9040	8999	9011	8907	0.915
WA_A_CRIS_ST_9510	15300	14935	14766	14809	14593	0.954
WA_A_CRIS_ST_9621	20049	19063	18989	19014	18298	0.913
WA_A_CRIS_ST_9623	8407	8095	8075	8064	7993	0.951
WA_A_CRIS_ST_9624	34463	33431	33292	33263	32594	0.946
WA_A_FLOR_EG_9662	8025	7358	6992	7080	2491	0.31
WA_A_FLOR_GL_9433	25440	24277	24022	24057	23435	0.921
WA_A_FLOR_GL_9648	29830	29038	28562	28627	27802	0.932
WA_A_FLOR_GL_9650	19791	19075	18469	18646	17650	0.892
WA_A_FLOR_GL_9652	62026	60201	59592	59729	58280	0.94
WA_A_FLOR_GL_9653	14801	14301	14065	14136	13801	0.932
WA_A_FLOR_GL_9655	48968	47617	46498	46750	44049	0.9
WA_A_FLOR_GL_9658	8609	8429	8252	8313	8000	0.929
WA_A_FLOR_GL_9659	553	538	480	496	429	0.776
WA_A_FLOR_GL_9662	11286	10866	10477	10556	9633	0.854
WA_A_FLOR_GL_9663	13694	13234	12801	12886	12249	0.894
WA_A_FLOR_GL_9664	61179	59863	59245	59443	57891	0.946
WA_A_FLOR_HP_9433	45028	43342	42929	42956	41935	0.931
WA_A_FLOR_HP_9648	26300	25292	25137	25182	24954	0.949
WA_A_FLOR_HP_9650	12863	12198	12106	12122	11973	0.931
WA_A_FLOR_HP_9652	35779	34702	34604	34632	34403	0.962
WA_A_FLOR_HP_9653	14311	13723	13556	13595	13382	0.935
WA_A_FLOR_HP_9655	35474	33675	33525	33536	33106	0.933
WA_A_FLOR_HP_9658	27168	26382	26313	26349	26210	0.965
WA_A_FLOR_HP_9659	3101	2962	2744	2770	2416	0.779
WA_A_FLOR_HP_9662	33024	31870	31799	31792	29895	0.905
WA_A_FLOR_HP_9663	19359	18251	18181	18194	18064	0.933
WA_A_FLOR_HP_9664	55902	53776	53441	53532	52774	0.944
WA_A_FLOR_MG_9433	38692	37734	37536	37548	37010	0.957
WA_A_FLOR_MG_9648	14482	14120	14024	14044	13890	0.959
WA_A_FLOR_MG_9650	12864	12307	12203	12219	12043	0.936
WA_A_FLOR_MG_9652	49684	48520	48307	48391	47686	0.96
WA_A_FLOR_MG_9653	12796	12275	12149	12197	11997	0.938
WA_A_FLOR_MG_9655	59887	58332	57968	58070	57141	0.954
WA_A_FLOR_MG_9658	48320	47140	46853	46920	46384	0.96
WA_A_FLOR_MG_9659	12634	11880	11692	11747	11400	0.902
WA_A_FLOR_MG_9662	7747	7579	7541	7553	7504	0.969
WA_A_FLOR_MG_9663	12401	12001	11904	11928	11756	0.948
WA_A_FLOR_MG_9664	51834	50373	50161	50244	49741	0.96
WA_A_FLOR_ST_9433	9621	9232	8750	8907	7807	0.811
WA_A_FLOR_ST_9648	5244	5109	4843	4884	4418	0.842
WA_A_FLOR_ST_9650	11824	11327	11112	11161	10105	0.855
WA_A_FLOR_ST_9652	67157	65254	64216	64364	61660	0.918
WA_A_FLOR_ST_9653	9780	9454	9195	9246	8893	0.909
WA_A_FLOR_ST_9655	5960	5778	5602	5642	5331	0.894
WA_A_FLOR_ST_9658	37555	35792	35307	35430	34271	0.913
WA_A_FLOR_ST_9659	31919	31057	30780	30795	30033	0.941
WA_A_FLOR_ST_9662	23600	22721	22245	22367	21241	0.9
WA_A_FLOR_ST_9663	13650	13331	13084	13175	12809	0.938
WA_A_FLOR_ST_9664	58831	56867	56386	56455	54964	0.934
WA_A_FORM_GL_7455	43782	42733	42556	42630	42023	0.96
WA_A_FORM_GL_7551	4225	4059	3962	3981	3877	0.918
WA_A_FORM_HP_7455	5903	5803	5794	5788	5784	0.98
WA_A_FORM_HP_7551	17110	16631	16605	16601	16550	0.967
WA_A_FORM_MG_7455	11624	11184	11160	11161	11138	0.958
WA_A_FORM_MG_7551	32397	30190	29993	30024	28966	0.894
WA_A_FORM_ST_7455	13758	13452	13438	13442	13433	0.976
WA_A_FORM_ST_7551	9303	9037	8934	8973	8687	0.934
WA_A_NUTT_EG_9406	22972	22359	22093	22148	21065	0.917
WA_A_NUTT_EG_9459	17572	17159	16734	16882	16217	0.923
WA_A_NUTT_GL_7389	36271	34279	34128	34153	33881	0.934
WA_A_NUTT_GL_7428	32718	31965	31716	31791	31307	0.957
WA_A_NUTT_GL_7429	44882	41115	40743	40772	39689	0.884
WA_A_NUTT_GL_7430	2594	2488	2421	2439	2367	0.912
WA_A_NUTT_GL_9406	5394	5218	5035	5087	4858	0.901
WA_A_NUTT_GL_9409	31009	30201	29877	29959	29294	0.945
WA_A_NUTT_GL_9459	25914	25102	24928	24979	24505	0.946
WA_A_NUTT_GL_9460	27203	26530	26072	26176	25431	0.935
WA_A_NUTT_HP_7389	20683	19459	19404	19404	19225	0.93
WA_A_NUTT_HP_7428	7387	7211	7169	7166	7117	0.963
WA_A_NUTT_HP_7429	54905	53528	53368	53416	52859	0.963
WA_A_NUTT_HP_7430	13015	11846	11769	11781	11643	0.895
WA_A_NUTT_HP_9406	6082	5837	5828	5821	5771	0.949
WA_A_NUTT_HP_9409	14374	14092	14030	14047	13969	0.972
WA_A_NUTT_HP_9459	9943	9462	9258	9426	9177	0.923
WA_A_NUTT_HP_9460	36694	34648	34373	34384	33595	0.916
WA_A_NUTT_MG_7389	3008	2944	2935	2940	2902	0.965
WA_A_NUTT_MG_7428	32303	31605	31535	31550	31418	0.973
WA_A_NUTT_MG_7429	65030	60847	60660	60648	59889	0.921
WA_A_NUTT_MG_7430	5811	5619	5590	5599	5508	0.948
WA_A_NUTT_MG_9406	18639	18282	18264	18258	18088	0.97
WA_A_NUTT_MG_9409	3051	2998	2984	2992	2981	0.977
WA_A_NUTT_MG_9459	34456	33788	33744	33769	33472	0.971
WA_A_NUTT_MG_9460	45483	43387	43163	43164	42278	0.93
WA_A_NUTT_ST_7389	2897	2787	2638	2665	2475	0.854
WA_A_NUTT_ST_7428	22525	21873	21374	21461	20653	0.917
WA_A_NUTT_ST_7429	40440	38875	38621	38652	37760	0.934
WA_A_NUTT_ST_7430	2137	2016	1952	1956	1844	0.863
WA_A_NUTT_ST_9406	26462	25866	25673	25730	25341	0.958
WA_A_NUTT_ST_9409	7764	7551	7369	7421	7210	0.929
WA_A_NUTT_ST_9459	26735	26020	25810	25845	25378	0.949
WA_A_NUTT_ST_9460	45178	43519	43110	43217	42247	0.935
WA_A_PARA_EG_9364	36453	35413	34710	34912	33136	0.909
WA_A_PARA_EG_9478	54923	53036	52661	52744	50756	0.924
WA_A_PARA_EG_9486	61593	58914	58478	58557	54609	0.887
WA_A_PARA_GL_7405	2830	2684	2630	2644	2589	0.915
WA_A_PARA_GL_7453	53664	51699	51025	51187	49509	0.923
WA_A_PARA_GL_7459	17243	16154	16099	16111	15964	0.926
WA_A_PARA_GL_7460	3506	3352	3328	3329	3298	0.941
WA_A_PARA_GL_9364	16877	16107	15992	16024	15666	0.928
WA_A_PARA_GL_9474	381	368	332	346	301	0.79
WA_A_PARA_GL_9476	23611	22523	22405	22413	22151	0.938
WA_A_PARA_GL_9477	44785	43786	43203	43375	41739	0.932
WA_A_PARA_GL_9478	46688	43557	43453	43420	42958	0.92
WA_A_PARA_GL_9486	36457	34955	34820	34855	34468	0.945
WA_A_PARA_HP_7405	4547	4172	4128	4142	4060	0.893
WA_A_PARA_HP_7453	29084	26056	25976	25952	25684	0.883
WA_A_PARA_HP_7459	14481	13626	13581	13598	13461	0.93
WA_A_PARA_HP_7460	14214	13227	13161	13173	13072	0.92
WA_A_PARA_HP_9364	1944	1816	1799	1810	1793	0.922
WA_A_PARA_HP_9474	6495	6237	6222	6223	6148	0.947
WA_A_PARA_HP_9476	31275	30320	30199	30219	29980	0.959
WA_A_PARA_HP_9477	4700	4383	4338	4369	4321	0.919
WA_A_PARA_HP_9478	12147	11311	11273	11299	11225	0.924
WA_A_PARA_HP_9486	46631	45797	45770	45776	45731	0.981
WA_A_PARA_MG_7405	12047	11698	11663	11679	11645	0.967
WA_A_PARA_MG_7453	26318	25253	25109	25177	24905	0.946
WA_A_PARA_MG_7459	30054	29174	28365	28541	26284	0.875
WA_A_PARA_MG_7460	4074	3793	3756	3770	3720	0.913
WA_A_PARA_MG_9364	496	488	481	481	474	0.956
WA_A_PARA_MG_9474	29177	28255	28225	28222	27849	0.954
WA_A_PARA_MG_9476	45683	44234	44184	44180	44108	0.966
WA_A_PARA_MG_9477	3443	3324	3280	3291	3229	0.938
WA_A_PARA_MG_9478	67389	65257	64837	64839	63584	0.944
WA_A_PARA_MG_9486	53759	49839	49541	49553	48215	0.897
WA_A_PARA_ST_7405	4594	4347	4249	4266	4077	0.887
WA_A_PARA_ST_7453	5432	5249	5111	5135	4951	0.911
WA_A_PARA_ST_7459	8411	8135	7868	7903	7506	0.892
WA_A_PARA_ST_7460	2313	2150	2023	2062	1905	0.824
WA_A_PARA_ST_9364	7607	7345	7260	7277	7147	0.94
WA_A_PARA_ST_9474	37874	36831	36496	36489	35734	0.943
WA_A_PARA_ST_9476	35692	34693	34578	34559	34188	0.958
WA_A_PARA_ST_9477	348	336	289	309	262	0.753
WA_A_PARA_ST_9478	54637	53114	52727	52851	51547	0.943
WA_A_PARA_ST_9486	54375	51680	51354	51369	50476	0.928
WA_A_PCNS_EG_9443	34916	33910	33551	33680	32940	0.943
WA_A_PCNS_EG_9515	58316	56271	56048	56128	53716	0.921
WA_A_PCNS_EG_9516	39129	37348	37242	37272	22633	0.578
WA_A_PCNS_GL_7399	5032	4671	4653	4656	4626	0.919
WA_A_PCNS_GL_7445	3729	3476	3467	3471	3460	0.928
WA_A_PCNS_GL_9374	13382	12879	12788	12815	12512	0.935
WA_A_PCNS_GL_9443	13299	12864	12800	12846	12740	0.958
WA_A_PCNS_GL_9513	11837	10427	10405	10327	10181	0.86
WA_A_PCNS_GL_9515	50986	49503	49340	49402	49068	0.962
WA_A_PCNS_GL_9516	55584	53620	53475	53505	52357	0.942
WA_A_PCNS_GL_9519	26543	25778	25699	25734	25547	0.962
WA_A_PCNS_HP_7399	16497	15433	15386	15396	15242	0.924
WA_A_PCNS_HP_7445	12836	12096	12013	12050	11930	0.929
WA_A_PCNS_HP_9374	13458	12914	12859	12878	12702	0.944
WA_A_PCNS_HP_9443	29119	28172	28089	28083	28020	0.962
WA_A_PCNS_HP_9513	1631	1484	1472	1462	1433	0.879
WA_A_PCNS_HP_9515	18805	18046	17975	18026	17934	0.954
WA_A_PCNS_HP_9516	22588	21775	21754	21693	21463	0.95
WA_A_PCNS_HP_9519	13356	13024	12975	12974	12901	0.966
WA_A_PCNS_MG_7399	30450	29321	29252	29265	28951	0.951
WA_A_PCNS_MG_7445	6563	6306	6287	6301	6257	0.953
WA_A_PCNS_MG_9374	13325	12774	12729	12740	12643	0.949
WA_A_PCNS_MG_9443	11291	11056	11045	11053	11030	0.977
WA_A_PCNS_MG_9513	590	571	569	571	567	0.961
WA_A_PCNS_MG_9515	63241	61659	61535	61573	61312	0.969
WA_A_PCNS_MG_9516	43408	41915	41893	41864	41813	0.963
WA_A_PCNS_MG_9519	2533	2490	2486	2484	2415	0.953
WA_A_PCNS_ST_7399	35573	33859	33676	33629	33226	0.934
WA_A_PCNS_ST_7445	3595	3412	3283	3291	3048	0.848
WA_A_PCNS_ST_9374	15605	14920	14800	14781	14584	0.935
WA_A_PCNS_ST_9443	45501	44237	44079	44107	43420	0.954
WA_A_PCNS_ST_9513	8152	7804	7702	7739	7496	0.92
WA_A_PCNS_ST_9515	27191	26226	26164	26128	25747	0.947
WA_A_PCNS_ST_9516	35062	34351	34181	34208	33524	0.956
WA_A_PCNS_ST_9519	6401	6218	6158	6174	6064	0.947
WA_A_PCWS_EG_7450	3032	2910	2883	2868	2812	0.927
WA_A_PCWS_EG_7559	26263	25607	25474	25470	25170	0.958
WA_A_PCWS_EG_9522	53913	51733	51453	51506	50900	0.944
WA_A_PCWS_GL_7410	4611	4392	4372	4382	4349	0.943
WA_A_PCWS_GL_7440	5056	4854	4808	4819	4759	0.941
WA_A_PCWS_GL_7441	4036	3801	3792	3793	3763	0.932
WA_A_PCWS_GL_7443	41453	39886	39823	39821	39683	0.957
WA_A_PCWS_GL_7450	6699	6249	6236	6241	6207	0.927
WA_A_PCWS_GL_7559	21578	20958	20921	20892	20803	0.964
WA_A_PCWS_GL_9439	55598	52796	52604	52675	52328	0.941
WA_A_PCWS_GL_9522	51087	47491	47337	47353	47071	0.921
WA_A_PCWS_HP_7410	4502	4160	4142	4140	4091	0.909
WA_A_PCWS_HP_7440	4114	4004	3984	3990	3906	0.949
WA_A_PCWS_HP_7441	7738	7455	7432	7443	7393	0.955
WA_A_PCWS_HP_7443	32017	30225	30143	30146	29878	0.933
WA_A_PCWS_HP_7450	18635	17898	17871	17874	17824	0.956
WA_A_PCWS_HP_7559	31603	31129	31109	31117	31069	0.983
WA_A_PCWS_HP_9439	15587	13990	13960	13956	13870	0.89
WA_A_PCWS_HP_9522	58041	42264	41972	42012	41683	0.718
WA_A_PCWS_MG_7410	18517	18013	17989	17994	17968	0.97
WA_A_PCWS_MG_7440	15654	15209	15156	15170	15017	0.959
WA_A_PCWS_MG_7441	20624	20090	20075	20082	19969	0.968
WA_A_PCWS_MG_7443	28494	27646	27620	27604	27358	0.96
WA_A_PCWS_MG_7450	47498	45862	45657	45652	45154	0.951
WA_A_PCWS_MG_7559	11153	10939	10917	10934	10841	0.972
WA_A_PCWS_MG_9439	43716	42466	42266	42292	41578	0.951
WA_A_PCWS_MG_9522	63002	59724	59630	59580	59401	0.943
WA_A_PCWS_ST_7410	6076	5747	5733	5691	5545	0.913
WA_A_PCWS_ST_7440	7641	7188	7110	7118	6985	0.914
WA_A_PCWS_ST_7441	31018	29469	29257	29324	28790	0.928
WA_A_PCWS_ST_7443	3891	3763	3581	3601	3386	0.87
WA_A_PCWS_ST_7450	40227	38052	37942	37957	37506	0.932
WA_A_PCWS_ST_7559	23519	23046	22977	22973	22829	0.971
WA_A_PCWS_ST_9439	11654	10680	10544	10560	10295	0.883
WA_A_PCWS_ST_9522	57643	55266	54621	54780	52947	0.919
WA_A_SIMU_GL_7486	41338	37818	37745	37634	37304	0.902
WA_A_SIMU_GL_7717	42997	39122	39006	38834	38369	0.892
WA_A_SIMU_GL_7718	9446	7096	7083	7076	7068	0.748
WA_A_SIMU_HP_7486	31019	29700	29562	29669	29444	0.949
WA_A_SIMU_HP_7717	5878	4842	4805	4804	4792	0.815
WA_A_SIMU_HP_7718	8393	7151	7108	7115	7082	0.844
WA_A_SIMU_MG_7486	5431	5103	5078	5091	5041	0.928
WA_A_SIMU_MG_7717	12549	11160	11096	11116	11035	0.879
WA_A_SIMU_MG_7718	10039	8599	8560	8576	8412	0.838
WA_A_THOM_EG_9420	16451	16000	15888	15870	15701	0.954
WA_A_THOM_GL_7419	3229	3111	3041	3055	2937	0.91
WA_A_THOM_GL_7503	47169	44119	43518	43636	41972	0.89
WA_A_THOM_GL_7541	2969	2850	2811	2815	2744	0.924
WA_A_THOM_GL_9389	37791	37006	36895	36923	36662	0.97
WA_A_THOM_GL_9420	31291	30487	30298	30333	29901	0.956
WA_A_THOM_HP_7419	13340	12723	12588	12608	12388	0.929
WA_A_THOM_HP_7503	35137	33804	33699	33703	33474	0.953
WA_A_THOM_HP_7541	10212	9426	9328	9347	9198	0.901
WA_A_THOM_HP_9389	9310	8954	8945	8947	8786	0.944
WA_A_THOM_HP_9420	22384	21914	21865	21859	21735	0.971
WA_A_THOM_MG_7503	26793	26015	25898	25940	25796	0.963
WA_A_THOM_MG_7541	21263	20573	20316	20364	20030	0.942
WA_A_THOM_MG_9389	2328	2223	2178	2186	2093	0.899
WA_A_THOM_MG_9420	33833	32147	31893	31959	31449	0.93
WA_A_THOM_ST_7419	5957	5611	5499	5520	5328	0.894
WA_A_THOM_ST_7503	43799	42182	41461	41583	39856	0.91
WA_A_THOM_ST_7541	41277	38510	38201	38219	37487	0.908
WA_A_THOM_ST_9389	271	267	249	252	199	0.734
WA_A_THOM_ST_9420	38103	36334	35902	35901	35065	0.92
WA_A_VERR_GL_9526	36462	35182	34968	35087	34359	0.942
WA_A_VERR_GL_9611	39240	35354	35175	35235	35000	0.892
WA_A_VERR_HP_9526	31209	30357	30241	30296	30003	0.961
WA_A_VERR_HP_9611	47040	42321	42138	42215	41886	0.89
WA_A_VERR_MG_9526	33383	32425	32326	32358	32097	0.961
WA_A_VERR_MG_9611	58807	57410	57093	57193	56607	0.963
WA_A_VERR_ST_9526	29459	28681	28367	28440	27726	0.941
WA_A_VERR_ST_9611	51242	48973	48412	48563	46694	0.911
WA_A_WEBS_EG_9610	2176	2081	2032	2045	2001	0.92
WA_A_WEBS_GL_9610	4192	3864	3840	3842	3633	0.867
WA_A_WEBS_HP_9610	7494	7261	7227	7234	7047	0.94
WA_A_WEBS_MG_9610	51841	50470	49927	50123	48410	0.934
WA_A_WEBS_ST_9610	60361	58634	58239	58369	57162	0.947
WA_E_SAMP_RB_7531	9221	8727	8059	8229	7602	0.824
WA_E_SAMP_RB_7533	66924	63284	61332	61535	58664	0.877
WA_E_SAMP_RB_7534	12583	12131	10823	11226	9249	0.735
WA_E_SAMP_RB_7535	35251	33593	31316	31704	28702	0.814
WA_E_SAMP_WT_2670	21663	20696	20123	20225	19237	0.888
WA_E_SAMP_WT_2671	22073	21354	20924	20990	20037	0.908
WA_E_SAMP_WT_2672	24580	23842	23235	23317	22196	0.903
WA_E_SAMP_WT_2673	24929	24206	23192	23441	21888	0.878
WA_E_SAMP_WT_2674	16419	15931	15213	15396	14374	0.875
WA_E_SAMP_WT_2675	18627	17959	17460	17534	16680	0.895
WA_E_SAMP_WT_2676	16305	15211	14776	14771	13880	0.851
WA_E_SAMP_WT_2677	72696	70765	69557	69723	67285	0.926
WA_E_SAMP_WT_2678	61095	59129	58059	58190	56017	0.917
WA_E_SAMP_WT_2679	136320	132075	128456	129192	122579	0.899
WA_E_SAMP_WT_2680	71843	68291	65361	65924	61366	0.854
WA_E_SAMP_WT_2681	97031	93041	87582	88644	82730	0.853
WA_E_SAMP_WT_3023	51885	50420	48814	49174	46599	0.898
WA_E_SAMP_WT_3031	51290	49788	48317	48607	46091	0.899
WA_E_SAMP_WT_3039	45944	44025	41368	41939	38223	0.832
WA_E_SAMP_WT_3047	42861	41341	40506	40665	38848	0.906
WA_E_SAMP_WT_3051	48821	46474	44853	45135	42615	0.873
WA_E_SAMP_WT_3063	57485	55510	54269	54465	51802	0.901
WA_E_SAMP_WT_3071	60859	58949	56629	57098	53355	0.877
WA_E_SAMP_WT_3075	44599	43195	41128	41633	38599	0.865
