SampleID	input	filtered	per_reads_kept
EP_A_HEBE_HP_8936	22967	21567	0.939
EP_A_HEBE_HP_9349	18882	14864	0.787
EP_A_HEBE_MG_8936	38235	34612	0.905
EP_A_HEBE_MG_9349	16321	14237	0.872
EP_A_HEBE_ST_8936	50148	44136	0.88
EP_A_HEBE_ST_9349	15094	12359	0.819
EP_A_HYEY_EG_8957	40302	35436	0.879
EP_A_HYEY_EG_8962	40887	34037	0.832
EP_A_HYEY_EG_9013	18725	17043	0.91
EP_A_HYEY_GL_8956	35230	31698	0.9
EP_A_HYEY_GL_8957	51349	45057	0.877
EP_A_HYEY_GL_8958	37283	33631	0.902
EP_A_HYEY_GL_9009	31112	28114	0.904
EP_A_HYEY_GL_9013	43314	38529	0.89
EP_A_HYEY_GL_9046	48383	43741	0.904
EP_A_HYEY_HP_8956	42652	30098	0.706
EP_A_HYEY_HP_8957	28181	25801	0.916
EP_A_HYEY_HP_8958	32786	23816	0.726
EP_A_HYEY_HP_8960	28423	26523	0.933
EP_A_HYEY_HP_9009	30245	26936	0.891
EP_A_HYEY_HP_9013	51026	44537	0.873
EP_A_HYEY_HP_9046	53556	47307	0.883
EP_A_HYEY_MG_8956	35266	32171	0.912
EP_A_HYEY_MG_8957	29674	26976	0.909
EP_A_HYEY_MG_8958	33827	30293	0.896
EP_A_HYEY_MG_8960	44265	40440	0.914
EP_A_HYEY_MG_9009	38148	34466	0.903
EP_A_HYEY_MG_9013	45129	40991	0.908
EP_A_HYEY_MG_9046	41446	37517	0.905
EP_A_HYEY_ST_8956	30486	26352	0.864
EP_A_HYEY_ST_8957	28579	26119	0.914
EP_A_HYEY_ST_8958	47806	39457	0.825
EP_A_HYEY_ST_8960	33621	30651	0.912
EP_A_HYEY_ST_9009	48536	43370	0.894
EP_A_HYEY_ST_9013	40392	36456	0.903
EP_A_HYEY_ST_9046	37725	33989	0.901
EP_A_JAVI_EG_8939	59348	52041	0.877
EP_A_JAVI_GL_8939	31147	27680	0.889
EP_A_JAVI_HP_8939	29900	27011	0.903
EP_A_JAVI_MG_8939	42442	38957	0.918
EP_A_JAVI_ST_8939	36926	33168	0.898
EP_A_PANA_EG_8948	19719	17013	0.863
EP_A_PANA_EG_9264	41579	37530	0.903
EP_A_PANA_EG_9332	33388	30118	0.902
EP_A_PANA_EG_9338	18087	15678	0.867
EP_A_PANA_EG_9339	3697	3209	0.868
EP_A_PANA_GL_8948	16949	14703	0.867
EP_A_PANA_GL_8952	39310	35588	0.905
EP_A_PANA_GL_9022	6561	5645	0.86
EP_A_PANA_GL_9264	49918	45561	0.913
EP_A_PANA_GL_9332	41390	37459	0.905
EP_A_PANA_GL_9338	17499	15451	0.883
EP_A_PANA_GL_9339	4823	4099	0.85
EP_A_PANA_HP_8948	15330	12924	0.843
EP_A_PANA_HP_9022	6195	5232	0.845
EP_A_PANA_HP_9264	42292	38606	0.913
EP_A_PANA_HP_9332	51723	47597	0.92
EP_A_PANA_HP_9338	18175	14779	0.813
EP_A_PANA_HP_9339	6145	5269	0.857
EP_A_PANA_MG_8948	16382	14410	0.88
EP_A_PANA_MG_8952	48659	43903	0.902
EP_A_PANA_MG_9022	6252	5273	0.843
EP_A_PANA_MG_9264	45131	41026	0.909
EP_A_PANA_MG_9332	46046	41728	0.906
EP_A_PANA_MG_9338	27203	23281	0.856
EP_A_PANA_MG_9339	6088	5244	0.861
EP_A_PANA_ST_8948	16686	14343	0.86
EP_A_PANA_ST_8952	19099	17553	0.919
EP_A_PANA_ST_9022	8954	7428	0.83
EP_A_PANA_ST_9264	19137	18043	0.943
EP_A_PANA_ST_9332	41023	37483	0.914
EP_A_PANA_ST_9338	22149	19268	0.87
EP_A_PANA_ST_9339	4094	3419	0.835
EP_A_ROST_EG_9113	32625	27524	0.844
EP_A_ROST_EG_9124	21922	18610	0.849
EP_A_ROST_GL_9112	37061	33344	0.9
EP_A_ROST_GL_9113	34802	31808	0.914
EP_A_ROST_GL_9117	6848	6192	0.904
EP_A_ROST_GL_9118	41644	37965	0.912
EP_A_ROST_GL_9194	7269	6634	0.913
EP_A_ROST_HP_9112	42948	39423	0.918
EP_A_ROST_HP_9113	30846	28276	0.917
EP_A_ROST_HP_9117	8361	7161	0.856
EP_A_ROST_HP_9118	38330	35158	0.917
EP_A_ROST_HP_9194	10819	9509	0.879
EP_A_ROST_MG_9112	35880	32548	0.907
EP_A_ROST_MG_9113	38091	34761	0.913
EP_A_ROST_MG_9117	12139	10384	0.855
EP_A_ROST_MG_9118	39408	35876	0.91
EP_A_ROST_MG_9194	10018	8768	0.875
EP_A_ROST_ST_9112	46792	41222	0.881
EP_A_ROST_ST_9117	9596	8403	0.876
EP_A_ROST_ST_9118	43934	39979	0.91
EP_A_ROST_ST_9194	11407	10003	0.877
EP_A_SAXI_EG_9239	7405	6425	0.868
EP_A_SAXI_EG_9248	9755	8851	0.907
EP_A_SAXI_EG_9263	6029	5315	0.882
EP_A_SAXI_GL_9239	7051	6359	0.902
EP_A_SAXI_GL_9248	14481	12894	0.89
EP_A_SAXI_GL_9263	5502	4916	0.893
EP_A_SAXI_HP_9239	5889	5173	0.878
EP_A_SAXI_HP_9248	10644	9343	0.878
EP_A_SAXI_HP_9263	3447	2981	0.865
EP_A_SAXI_MG_9239	9541	8217	0.861
EP_A_SAXI_MG_9248	5419	4751	0.877
EP_A_SAXI_MG_9263	4473	3988	0.892
