SampleID	input	filtered	denoisedF	denoisedR	merged	per_reads_kept
EP_A_FASC_ST_9053	12209	10601	10276	10293	9984	0.818
EP_A_FASC_ST_9057	39145	35423	34358	34537	18990	0.485
EP_A_GALA_EG_8980	20053	16546	15871	15960	15124	0.754
EP_A_GALA_EG_9164	48688	43670	41838	42519	29720	0.61
EP_A_GALA_EG_9186	36889	32887	31234	31717	23068	0.625
EP_A_GALA_GL_8980	24742	21641	20157	20488	18732	0.757
EP_A_GALA_GL_9079	25099	20996	19703	20154	18781	0.748
EP_A_GALA_GL_9164	44737	40251	39458	39532	24458	0.547
EP_A_GALA_GL_9186	52345	46788	45378	45613	32816	0.627
EP_A_GALA_HP_8980	19841	15804	14850	15437	14677	0.74
EP_A_GALA_HP_9164	29474	27273	27229	27226	13141	0.446
EP_A_GALA_HP_9186	36622	33626	33556	33561	16317	0.446
EP_A_GALA_MG_8980	21509	18975	18592	18561	17602	0.818
EP_A_GALA_MG_9079	20938	17983	16816	17176	15443	0.738
EP_A_GALA_MG_9164	25755	23541	23064	23168	12028	0.467
EP_A_GALA_MG_9186	37831	34122	32832	33239	17819	0.471
EP_A_GALA_ST_8980	28028	23389	21779	22242	20469	0.73
EP_A_GALA_ST_9079	6570	5513	5182	5374	5078	0.773
EP_A_GALA_ST_9164	32885	30243	29802	29997	15500	0.471
EP_A_GALA_ST_9186	23124	21873	21405	21570	18149	0.785
EP_A_HEBE_EG_9349	21842	17576	16571	16650	15784	0.723
EP_A_HEBE_GL_8936	45155	40031	39562	39659	30884	0.684
EP_A_HEBE_GL_9349	19013	16156	15506	15593	14476	0.761
EP_A_HEBE_HP_8936	22967	21567	21387	21474	20376	0.887
EP_A_HEBE_HP_9349	18882	14864	14169	14366	13293	0.704
EP_A_HEBE_MG_8936	38235	34612	33988	34157	20718	0.542
EP_A_HEBE_MG_9349	16321	14237	13644	13773	13249	0.812
EP_A_HEBE_ST_8936	50148	44136	41934	42804	28416	0.567
EP_A_HEBE_ST_9349	15094	12359	11378	11426	10419	0.69
EP_A_HYEY_EG_8957	40302	35436	34123	34838	18071	0.448
EP_A_HYEY_EG_8962	40887	34037	33217	33563	16964	0.415
EP_A_HYEY_EG_9013	18725	17043	16565	16691	13460	0.719
EP_A_HYEY_GL_8956	35230	31698	31338	31322	17000	0.483
EP_A_HYEY_GL_8957	51349	45057	43622	44191	23284	0.453
EP_A_HYEY_GL_8958	37283	33631	32839	33208	18454	0.495
EP_A_HYEY_GL_9009	31112	28114	27300	27520	18205	0.585
EP_A_HYEY_GL_9013	43314	38529	37923	38051	21305	0.492
EP_A_HYEY_GL_9046	48383	43741	42733	42879	25586	0.529
EP_A_HYEY_HP_8956	42652	30098	29652	29797	15258	0.358
EP_A_HYEY_HP_8957	28181	25801	25625	25674	12642	0.449
EP_A_HYEY_HP_8958	32786	23816	23630	23589	10976	0.335
EP_A_HYEY_HP_8960	28423	26523	26399	26435	12982	0.457
EP_A_HYEY_HP_9009	30245	26936	26508	26668	18870	0.624
EP_A_HYEY_HP_9013	51026	44537	44020	44134	25691	0.503
EP_A_HYEY_HP_9046	53556	47307	46736	46896	31683	0.592
EP_A_HYEY_MG_8956	35266	32171	31952	31835	16734	0.475
EP_A_HYEY_MG_8957	29674	26976	26677	26730	12252	0.413
EP_A_HYEY_MG_8958	33827	30293	29786	30009	15969	0.472
EP_A_HYEY_MG_8960	44265	40440	40105	40186	21841	0.493
EP_A_HYEY_MG_9009	38148	34466	33828	34019	19242	0.504
EP_A_HYEY_MG_9013	45129	40991	40710	40794	22013	0.488
EP_A_HYEY_MG_9046	41446	37517	37271	37247	15779	0.381
EP_A_HYEY_ST_8956	30486	26352	25409	25854	15850	0.52
EP_A_HYEY_ST_8957	28579	26119	25640	25776	13129	0.459
EP_A_HYEY_ST_8958	47806	39457	38882	38993	22312	0.467
EP_A_HYEY_ST_8960	33621	30651	29491	29857	16845	0.501
EP_A_HYEY_ST_9009	48536	43370	41402	41994	29718	0.612
EP_A_HYEY_ST_9013	40392	36456	35302	35610	19538	0.484
EP_A_HYEY_ST_9046	37725	33989	33024	33249	20062	0.532
EP_A_JAVI_EG_8939	59348	52041	51230	51456	31213	0.526
EP_A_JAVI_GL_8939	31147	27680	27308	27371	18584	0.597
EP_A_JAVI_HP_8939	29900	27011	26441	26771	17400	0.582
EP_A_JAVI_MG_8939	42442	38957	38759	38856	20315	0.479
EP_A_JAVI_ST_8939	36926	33168	32737	32867	24170	0.655
EP_A_PANA_EG_8948	19719	17013	16094	16264	14218	0.721
EP_A_PANA_EG_9264	41579	37530	36655	36541	19330	0.465
EP_A_PANA_EG_9332	33388	30118	28939	29378	15635	0.468
EP_A_PANA_EG_9338	18087	15678	14477	14562	13223	0.731
EP_A_PANA_EG_9339	3697	3209	3014	3075	2864	0.775
EP_A_PANA_GL_8948	16949	14703	13909	13998	12831	0.757
EP_A_PANA_GL_8952	39310	35588	35080	35170	24887	0.633
EP_A_PANA_GL_9022	6561	5645	5302	5398	5034	0.767
EP_A_PANA_GL_9264	49918	45561	45205	45316	30537	0.612
EP_A_PANA_GL_9332	41390	37459	36794	37016	21071	0.509
EP_A_PANA_GL_9338	17499	15451	15015	15080	14422	0.824
EP_A_PANA_GL_9339	4823	4099	3875	3930	3706	0.768
EP_A_PANA_HP_8948	15330	12924	12282	12335	11706	0.764
EP_A_PANA_HP_9022	6195	5232	5084	5178	5064	0.817
EP_A_PANA_HP_9264	42292	38606	38362	37941	17733	0.419
EP_A_PANA_HP_9332	51723	47597	47368	47351	23023	0.445
EP_A_PANA_HP_9338	18175	14779	14126	14391	13688	0.753
EP_A_PANA_HP_9339	6145	5269	5070	5199	5017	0.816
EP_A_PANA_MG_8948	16382	14410	14103	14202	13965	0.852
EP_A_PANA_MG_8952	48659	43903	43255	43504	23342	0.48
EP_A_PANA_MG_9022	6252	5273	4912	4965	4760	0.761
EP_A_PANA_MG_9264	45131	41026	40117	40326	22529	0.499
EP_A_PANA_MG_9332	46046	41728	41163	41290	22881	0.497
EP_A_PANA_MG_9338	27203	23281	21629	21771	20172	0.742
EP_A_PANA_MG_9339	6088	5244	4918	4951	4639	0.762
EP_A_PANA_ST_8948	16686	14343	13257	13381	11943	0.716
EP_A_PANA_ST_8952	19099	17553	17213	17234	8595	0.45
EP_A_PANA_ST_9022	8954	7428	6935	7114	6668	0.745
EP_A_PANA_ST_9264	19137	18043	17400	17619	14475	0.756
EP_A_PANA_ST_9332	41023	37483	36777	36834	20977	0.511
EP_A_PANA_ST_9338	22149	19268	18361	18678	17342	0.783
EP_A_PANA_ST_9339	4094	3419	3089	3177	2787	0.681
EP_A_ROST_EG_9113	32625	27524	26913	27216	13346	0.409
EP_A_ROST_EG_9124	21922	18610	17537	17717	16312	0.744
EP_A_ROST_GL_9112	37061	33344	33047	32915	20257	0.547
EP_A_ROST_GL_9113	34802	31808	31627	31590	18884	0.543
EP_A_ROST_GL_9117	6848	6192	5864	5949	5654	0.826
EP_A_ROST_GL_9118	41644	37965	37777	37791	23290	0.559
EP_A_ROST_GL_9194	7269	6634	6461	6506	6330	0.871
EP_A_ROST_HP_9112	42948	39423	39198	39263	21549	0.502
EP_A_ROST_HP_9113	30846	28276	28169	28181	14314	0.464
EP_A_ROST_HP_9117	8361	7161	6986	7103	6952	0.831
EP_A_ROST_HP_9118	38330	35158	34997	35031	19105	0.498
EP_A_ROST_HP_9194	10819	9509	9098	9173	8810	0.814
EP_A_ROST_MG_9112	35880	32548	31974	32123	19414	0.541
EP_A_ROST_MG_9113	38091	34761	34613	34628	17461	0.458
EP_A_ROST_MG_9117	12139	10384	9878	10079	9644	0.794
EP_A_ROST_MG_9118	39408	35876	35494	35574	19312	0.49
EP_A_ROST_MG_9194	10018	8768	8349	8478	8067	0.805
EP_A_ROST_ST_9112	46792	41222	40644	40766	19436	0.415
EP_A_ROST_ST_9117	9596	8403	7963	8201	7827	0.816
EP_A_ROST_ST_9118	43934	39979	39614	39650	25614	0.583
EP_A_ROST_ST_9194	11407	10003	9219	9340	8243	0.723
EP_A_SAXI_EG_9239	7405	6425	6077	6165	5849	0.79
EP_A_SAXI_EG_9248	9755	8851	8550	8659	8177	0.838
EP_A_SAXI_EG_9263	6029	5315	4982	5032	4686	0.777
EP_A_SAXI_GL_9239	7051	6359	6185	6241	5933	0.841
EP_A_SAXI_GL_9248	14481	12894	12242	12436	11833	0.817
EP_A_SAXI_GL_9263	5502	4916	4615	4685	4430	0.805
EP_A_SAXI_HP_9239	5889	5173	4957	4935	4773	0.81
EP_A_SAXI_HP_9248	10644	9343	8872	9028	8606	0.809
EP_A_SAXI_HP_9263	3447	2981	2812	2820	2688	0.78
EP_A_SAXI_MG_9239	9541	8217	7768	7806	7508	0.787
EP_A_SAXI_MG_9248	5419	4751	4319	4415	3810	0.703
EP_A_SAXI_MG_9263	4473	3988	3742	3800	3463	0.774
EP_A_UMBO_EG_9126	2748	2401	2210	2232	2045	0.744
EP_A_UMBO_GL_9126	3050	2656	2464	2490	2262	0.742
EP_A_UMBO_HP_9126	2103	1873	1825	1836	1735	0.825
EP_A_UMBO_MG_9126	3186	2783	2644	2690	2455	0.771
EP_A_UMBO_ST_9126	3167	2833	2722	2760	2580	0.815
EP_A_UTRI_EG_9070	36144	31998	30908	31199	19418	0.537
EP_A_UTRI_GL_9068	8182	7132	6578	6684	6103	0.746
EP_A_UTRI_GL_9069	54328	48830	47334	47740	32661	0.601
EP_A_UTRI_GL_9070	12881	11329	10987	11079	10406	0.808
EP_A_UTRI_GL_9071	14203	12457	11469	11627	10317	0.726
EP_A_UTRI_GL_9270	18210	17139	16958	17003	14488	0.796
EP_A_UTRI_HP_9068	6965	6055	5588	5654	5168	0.742
EP_A_UTRI_HP_9069	46739	42052	41393	41458	31327	0.67
EP_A_UTRI_HP_9070	14462	12066	11567	11578	11118	0.769
EP_A_UTRI_HP_9071	14932	13071	12376	12331	11676	0.782
EP_A_UTRI_HP_9270	28951	26573	26069	26169	13547	0.468
EP_A_UTRI_MG_9068	6154	5413	4996	5069	4568	0.742
EP_A_UTRI_MG_9069	18041	16948	16369	16528	14599	0.809
EP_A_UTRI_MG_9070	17339	14817	14317	14372	13435	0.775
EP_A_UTRI_MG_9071	3469	2994	2604	2666	2226	0.642
EP_A_UTRI_MG_9270	32238	29325	28437	28631	18077	0.561
EP_A_UTRI_ST_9068	4692	4332	4104	4149	3897	0.831
EP_A_UTRI_ST_9069	40962	36842	34421	35992	26676	0.651
EP_A_UTRI_ST_9070	23717	19669	18304	18554	16664	0.703
EP_A_UTRI_ST_9071	3195	2734	2307	2405	1934	0.605
EP_A_UTRI_ST_9270	35507	32236	31074	31410	18879	0.532
