Representative_Sequence	total_reads_NC	total_reads_samps	perc_in_neg	total_samples	num_samp_nc	num_samp_no_nc	perc_in_neg_samp
M06508_16_000000000-CMN9T_1_2105_3137_9415	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1110_15770_7957	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1109_4093_21112	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1111_19279_26823	1	69844	0.001432	26	1	25	3.8461538461538463
M06508_8_000000000-JTFYW_1_2110_15652_10701	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1105_25066_7423	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2114_9853_18813	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1106_6659_22536	1	265717	3.76e-4	1201	1	1200	0.08326394671107411
M06508_12_000000000-CJG44_1_1112_15592_27606	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1104_22480_15593	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1105_5424_22948	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1104_25491_7600	4392	12539	25.940582	427	14	413	3.278688524590164
M06508_9_000000000-JTBW3_1_1105_10577_19067	1	3	25	4	1	3	25
M06508_16_000000000-CMN9T_1_2105_9126_9331	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1110_14914_15409	1	20307	0.004924	493	1	492	0.2028397565922921
M06508_8_000000000-JTFYW_1_2103_18573_22318	29	29	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2111_17454_26137	1	30667	0.003261	148	1	147	0.6756756756756757
M06508_12_000000000-CJG44_1_2105_18920_3546	1	70675	0.001415	607	1	606	0.16474464579901155
M06508_9_000000000-JTBW3_1_2114_20907_27956	1	25294	0.003953	68	1	67	1.4705882352941175
M06508_16_000000000-CMN9T_1_1107_14474_17876	1	3040	0.032884	295	1	294	0.3389830508474576
M06508_18_000000000-CNPPR_1_2111_24318_10815	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2106_24794_16940	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2110_10284_17956	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1112_21752_25193	1027	1616	38.857359	40	3	37	7.5
M06508_16_000000000-CMN9T_1_1101_28849_14229	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2106_18837_26562	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1102_13719_11129	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2105_22483_4057	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1103_15504_15889	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1114_7504_4395	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2106_23216_24890	1	1017	0.098232	25	1	24	4
M06508_12_000000000-CJG44_1_2105_13849_9687	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2108_6503_10787	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1101_7434_24636	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2114_10575_10374	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1102_9694_26332	1	3	25	3	1	2	33.33333333333333
M06508_9_000000000-JTBW3_1_1102_22279_3150	5	301861	0.001656	371	4	367	1.078167115902965
M06508_18_000000000-CNPPR_1_1104_11757_6319	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1108_7799_20709	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1112_22389_13295	1	1129	0.088496	9	1	8	11.11111111111111
M06508_18_000000000-CNPPR_1_2109_15585_27895	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1114_28760_18999	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1101_12222_5895	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2107_23530_18041	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2109_26674_18324	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1109_8379_8473	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2108_3153_11227	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2112_20251_12099	20	1145	1.716738	74	1	73	1.3513513513513513
M06508_12_000000000-CJG44_1_1110_2742_17827	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1105_4297_12636	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2104_10159_16035	75	75	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2114_13346_21874	158	1256	11.173975	81	1	80	1.2345679012345678
M06508_12_000000000-CJG44_1_2114_12462_22662	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2104_8225_24909	1167	1168	49.978587	3	1	2	33.33333333333333
M06508_18_000000000-CNPPR_1_1106_5535_18987	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1110_6917_14603	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1113_24257_15094	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2111_15872_7363	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2112_18533_4705	8079	16100	33.413293	445	30	415	6.741573033707865
M06508_19_000000000-CR8CR_1_2112_27234_18531	14	14	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2112_7871_17329	208	1552	11.818182	57	1	56	1.7543859649122806
M06508_12_000000000-CJG44_1_2110_21345_20593	1	6	14.285714	6	1	5	16.666666666666664
M06508_9_000000000-JTBW3_1_1112_2379_19117	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1105_5335_22200	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2114_17338_7205	2	70	2.777778	34	2	32	5.88235294117647
M06508_18_000000000-CNPPR_1_1105_25209_14476	1	1	50	2	1	1	50
